Incident Number,Exposure Number,Alarm Date,Alarm Time,Incident Type,Incident Description,Estimated Property Loss,Estimated Content Loss,District,City Section,Neighborhood,Zip,Property Use,Property Description,Street Number,Street Prefix,Street Name,Street Type,Street Suffix,Address 2,xStreet Prefix,xStreet Name,xStreet Type,xStreet Suffix
17-0012912,0,3/1/17,12:07:40,735,Alarm system sounded due to malfunction           ,0,0,11,BR             ,Allston-Brighton                                  ,2135,429,Multifamily dwelling                              ,1750,  ,COMMONWEALTH             ,  ,AVE ,: #INS203                               ,  ,                         ,  ,    
17-0012914,0,3/1/17,12:10:38,714,"Central station, malicious false alarm            ",0,0,4,RX             ,Roxbury                                           ,2120,400,"Residential, Other                                ",15-May,  ,HAMMOND                  ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0012918,0,3/1/17,12:14:34,745,"Alarm system activation, no fire - unintentional  ",0,0,3,BO             ,Boston                                            ,2109,500,"Mercantile, business, Other                       ",60,  ,STATE                    ,  ,ST  ,: #SIM437                               ,  ,                         ,  ,    
17-0012922,0,3/1/17,12:35:02,553,Public service                                    ,0,0,7,RX             ,Roxbury                                           ,2118,400,"Residential, Other                                ",1,E ,LENOX                    ,  ,ST  ,: #INS836                               ,  ,                         ,  ,    
17-0012924,0,3/1/17,12:45:21,900T,BFD Drill                                         ,0,0,3,               ,NULL,2109,941,"Open ocean, sea or tidal waters                   ",        ,  ,OUTER HARBOR             ,  ,    ,                                        ,  ,                         ,  ,    
17-0012925,0,3/1/17,12:46:20,733,Smoke detector activation due to malfunction      ,0,0,4,BO             ,Boston                                            ,2199,500,"Mercantile, business, Other                       ",800,  ,BOYLSTON                 ,  ,ST  ,: #17-1573                              ,  ,                         ,  ,    
17-0012926,0,3/1/17,12:53:17,900,"Special type of incident, Other                   ",0,0,8,DO             ,Dorchester                                        ,2126,881,"Parking garage, (detached residential garage)     ",765,  ,MORTON                   ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0012927,0,3/1/17,12:53:43,900T,BFD Drill                                         ,0,0,8,RX             ,Roxbury                                           ,2118,0,"Property Use, Other                               ",115,  ,SOUTHAMPTON              ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0012928,0,3/1/17,12:54:14,900,"Special type of incident, Other                   ",0,0,8,DO             ,Dorchester                                        ,2124,419,1 or 2 family dwelling                            ,8,  ,PAXTON                   ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0012929,0,3/1/17,12:54:40,900,"Special type of incident, Other                   ",0,0,8,DO             ,Dorchester                                        ,2124,0,"Property Use, Other                               ",975,  ,BLUE HILL                ,  ,AVE ,                                        ,  ,                         ,  ,    
17-0012930,0,3/1/17,12:55:01,900,"Special type of incident, Other                   ",0,0,8,DO             ,Dorchester                                        ,2124,539,"Household goods, sales, repairs                   ",20,  ,TALBOT                   ,  ,AVE ,                                        ,  ,                         ,  ,    
17-0012931,0,3/1/17,12:55:28,900,"Special type of incident, Other                   ",0,0,8,DO             ,Dorchester                                        ,2124,549,Specialty shop                                    ,21,  ,NEW ENGLAND              ,  ,AVE ,                                        ,  ,                         ,  ,    
17-0012932,0,3/1/17,12:55:55,900,"Special type of incident, Other                   ",0,0,8,DO             ,Dorchester                                        ,2124,539,"Household goods, sales, repairs                   ",592,  ,WASHINGTON               ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0012933,0,3/1/17,12:56:18,900,"Special type of incident, Other                   ",0,0,8,DO             ,Dorchester                                        ,2124,0,"Property Use, Other                               ",1884,  ,DORCHESTER               ,  ,AVE ,                                        ,  ,                         ,  ,    
17-0012934,0,3/1/17,12:56:43,900,"Special type of incident, Other                   ",0,0,8,DO             ,Dorchester                                        ,2124,419,1 or 2 family dwelling                            ,386,  ,ASHMONT                  ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0012935,0,3/1/17,12:57:05,900,"Special type of incident, Other                   ",0,0,8,DO             ,Dorchester                                        ,2122,0,"Property Use, Other                               ",301,  ,NEPONSET                 ,  ,AVE ,                                        ,  ,                         ,  ,    
17-0012936,0,3/1/17,12:57:33,900,"Special type of incident, Other                   ",0,0,8,DO             ,Dorchester                                        ,2124,400,"Residential, Other                                ",1953,  ,DORCHESTER               ,  ,AVE ,                                        ,  ,                         ,  ,    
17-0012937,0,3/1/17,12:57:57,900T,BFD Drill                                         ,0,0,8,DO             ,Dorchester                                        ,2124,0,"Property Use, Other                               ",9,  ,GALLIVAN                 ,  ,BLVD,                                        ,  ,                         ,  ,    
17-0012938,0,3/1/17,12:58:42,553,Public service                                    ,0,0,9,BO             ,Boston                                            ,2115,429,Multifamily dwelling                              ,12,  ,STONEHOLM                ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0012939,0,3/1/17,13:00:40,733,Smoke detector activation due to malfunction      ,0,0,4,BO             ,Boston                                            ,2199,500,"Mercantile, business, Other                       ",80,  ,BELVIDERE                ,  ,ST  ,: #14-1563                              ,  ,                         ,  ,    
17-0012940,0,3/1/17,13:01:27,600,"Good intent call, Other                           ",0,0,9,RS             ,Roslindale                                        ,2131,960,"Street, Other                                     ",        ,  ,SOUTH                    ,  ,ST  ,                                        ,  ,FAIRVIEW                 ,  ,ST  
17-0012942,0,3/1/17,13:03:36,711,"Municipal alarm system, malicious false alarm     ",0,0,8,DO             ,Dorchester                                        ,2124,962,"Residential street, road or residential driveway  ",        ,  ,CROWELL                  ,  ,ST  ,: #3496                                 ,  ,NORFOLK                  ,  ,ST  
17-0012943,0,3/1/17,13:10:27,733,Smoke detector activation due to malfunction      ,0,0,4,BO             ,Boston                                            ,2199,500,"Mercantile, business, Other                       ",10-Mar,  ,BOYLSTON                 ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0012944,0,3/1/17,13:11:24,711,"Municipal alarm system, malicious false alarm     ",0,0,8,DO             ,Dorchester                                        ,2124,962,"Residential street, road or residential driveway  ",        ,  ,CROWELL                  ,  ,ST  ,: #3496                                 ,  ,NORFOLK                  ,  ,ST  
17-0012945,0,3/1/17,13:13:40,440,"Electrical  wiring/equipment problem, Other       ",0,0,7,DO             ,Dorchester                                        ,2121,419,1 or 2 family dwelling                            ,36,  ,WESTWOOD                 ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0012947,0,3/1/17,13:19:27,113,"Cooking fire, confined to container               ",0,0,8,DO             ,Dorchester                                        ,2124,200,"Educational, Other                                ",759,  ,WASHINGTON               ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0012949,0,3/1/17,13:30:08,522,Water or steam leak                               ,0,0,4,BO             ,Boston                                            ,2116,963,Street or road in commercial area                 ,        ,  ,ARLINGTON                ,  ,ST  ,                                        ,  ,STUART                   ,  ,ST  
17-0012951,0,3/1/17,14:00:08,900T,BFD Drill                                         ,0,0,9,RX             ,Roxbury                                           ,2120,429,Multifamily dwelling                              ,69,  ,FISHER                   ,  ,AVE ,                                        ,  ,                         ,  ,    
17-0012961,0,3/1/17,14:47:21,553,Public service                                    ,0,0,7,RX             ,Roxbury                                           ,2119,960,"Street, Other                                     ",        ,  ,MAGAZINE                 ,  ,ST  ,                                        ,  ,CEDRIC                   ,  ,ST  
17-0012964,0,3/1/17,14:56:47,712,"Direct tie to FD, malicious false alarm           ",0,0,9,RX             ,Roxbury                                           ,2119,400,"Residential, Other                                ",757,  ,SHAWMUT                  ,  ,AVE ,: #12-2232                              ,  ,                         ,  ,    
17-0012967,0,3/1/17,15:20:32,462,Aircraft standby                                  ,0,0,1,               ,NULL,2128,973,Aircraft taxiway                                  ,204,  ,PRESCOTT                 ,  ,    ,: @LOGAN AIRPORT NORTH GATE             ,  ,                         ,  ,    
17-0012969,0,3/1/17,15:31:00,113,"Cooking fire, confined to container               ",0,0,9,JP             ,Jamaica Plain                                     ,2130,429,Multifamily dwelling                              ,155,  ,WILLIAMS                 ,  ,ST  ,: #ASG291                               ,  ,                         ,  ,    
17-0012971,0,3/1/17,15:35:47,652,"Steam, vapor, fog or dust thought to be smoke     ",0,0,9,RX             ,Roxbury                                           ,2121,429,Multifamily dwelling                              ,4,  ,NAZING                   ,  ,CT  ,: #AFA8231                              ,  ,                         ,  ,    
17-0012972,0,3/1/17,15:37:15,745,"Alarm system activation, no fire - unintentional  ",0,0,4,RX             ,Roxbury                                           ,2118,161,Restaurant or cafeteria                           ,606,  ,COLUMBUS                 ,  ,AVE ,: #CLM402                               ,  ,                         ,  ,    
17-0012974,0,3/1/17,15:44:20,553,Public service                                    ,0,0,3,BO             ,Boston                                            ,2114,951,Railroad right-of-way                             ,50,  ,NEW SUDBURY              ,  ,ST  ,: @MBTA STA-HYMKT GRN                   ,  ,                         ,  ,    
17-0012979,0,3/1/17,16:01:41,553,Public service                                    ,0,0,4,BO             ,Boston                                            ,2115,460,"Dormitory-type residence, other                   ",160,  ,MASSACHUSETTS            ,  ,AVE ,                                        ,  ,                         ,  ,    
17-0012980,0,3/1/17,16:12:25,553,Public service                                    ,0,0,3,BO             ,Boston                                            ,2114,900,"Outside or special property, Other                ",        ,  ,MERRIMAC                 ,  ,ST  ,                                        ,  ,NEW CHARDON              ,  ,ST  
17-0012983,0,3/1/17,16:20:15,150,"Outside rubbish fire, Other                       ",0,0,12,RS             ,Roslindale                                        ,2131,419,1 or 2 family dwelling                            ,426,  ,BEECH                    ,  ,ST  ,: @SCH-BATES ELEMENTARY SCHOOL          ,  ,                         ,  ,    
17-0012985,0,3/1/17,16:22:22,411,Gasoline or other flammable liquid spill          ,0,0,9,RS             ,Roslindale                                        ,2131,900,"Outside or special property, Other                ",4199,  ,WASHINGTON               ,  ,ST  ,: @HC-GREATER ROSLINDALE MEDICAL AND DEN,  ,                         ,  ,    
17-0012987,0,3/1/17,16:36:10,113,"Cooking fire, confined to container               ",0,0,7,RX             ,Roxbury                                           ,2119,429,Multifamily dwelling                              ,28,  ,MOUNT PLEASANT           ,  ,AVE ,: #AFA8172                              ,  ,                         ,  ,    
17-0012989,0,3/1/17,16:41:25,711,"Municipal alarm system, malicious false alarm     ",0,0,8,DO             ,Dorchester                                        ,2124,960,"Street, Other                                     ",        ,  ,MORTON                   ,  ,ST  ,: #3538                                 ,  ,WILDWOOD                 ,  ,ST  
17-0012991,0,3/1/17,16:47:33,553,Public service                                    ,0,0,9,RX             ,Roxbury                                           ,2119,900,"Outside or special property, Other                ",1855,  ,COLUMBUS                 ,  ,AVE ,                                        ,  ,                         ,  ,    
17-0012992,0,3/1/17,17:00:22,113,"Cooking fire, confined to container               ",0,0,4,BO             ,Boston                                            ,2118,429,Multifamily dwelling                              ,45,E ,NEWTON                   ,  ,ST  ,: #12-1652                              ,  ,                         ,  ,    
17-0012994,0,3/1/17,17:10:40,600,"Good intent call, Other                           ",0,0,9,RX             ,Roxbury                                           ,2115,429,Multifamily dwelling                              ,835,  ,HUNTINGTON               ,  ,AVE ,                                        ,  ,                         ,  ,    
17-0012997,0,3/1/17,17:20:40,733,Smoke detector activation due to malfunction      ,0,0,7,DO             ,Dorchester                                        ,2121,429,Multifamily dwelling                              ,18,  ,GREENWOOD                ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0012998,0,3/1/17,17:22:45,553,Public service                                    ,0,0,3,BO             ,Boston                                            ,2109,960,"Street, Other                                     ",199,  ,STATE                    ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0012999,0,3/1/17,17:26:07,711,"Municipal alarm system, malicious false alarm     ",0,0,8,DO             ,Dorchester                                        ,2124,960,"Street, Other                                     ",        ,  ,MORTON                   ,  ,ST  ,: #3538                                 ,  ,WILDWOOD                 ,  ,ST  
17-0013000,0,3/1/17,17:27:51,553,Public service                                    ,0,0,8,               ,NULL,2124,960,"Street, Other                                     ",        ,  ,WESTVIEW                 ,  ,ST  ,: EST STRATTON ST/WESTVIEW ST DO BSTN   ,  ,                         ,  ,    
17-0013002,0,3/1/17,17:30:58,900,"Special type of incident, Other                   ",0,0,8,DO             ,Dorchester                                        ,2124,0,"Property Use, Other                               ",9,  ,GALLIVAN                 ,  ,BLVD,                                        ,  ,                         ,  ,    
17-0013003,0,3/1/17,17:31:14,900,"Special type of incident, Other                   ",0,0,8,DO             ,Dorchester                                        ,2124,0,"Property Use, Other                               ",9,  ,GALLIVAN                 ,  ,BLVD,                                        ,  ,                         ,  ,    
17-0013004,0,3/1/17,17:35:12,735,Alarm system sounded due to malfunction           ,0,0,9,JP             ,Jamaica Plain                                     ,2130,429,Multifamily dwelling                              ,285-287 ,  ,CENTRE                   ,  ,ST  ,: #SIM593                               ,  ,                         ,  ,    
17-0013005,0,3/1/17,17:36:22,743,"Smoke detector activation, no fire - unintentional",0,0,11,BR             ,Allston-Brighton                                  ,2135,400,"Residential, Other                                ",36,  ,BELLVISTA                ,  ,RD  ,: #AFA8135                              ,  ,                         ,  ,    
17-0013006,0,3/1/17,17:39:50,551,Assist police or other governmental agency        ,0,0,6,SB             ,South Boston                                      ,2127,963,Street or road in commercial area                 ,9,W ,BROADWAY                 ,  ,    ,: @MBTA STA-BROADWAY                    ,  ,                         ,  ,    
17-0013008,0,3/1/17,17:50:26,113,"Cooking fire, confined to container               ",0,0,8,MT             ,Mattapan                                          ,2126,400,"Residential, Other                                ",249,  ,RIVER                    ,  ,ST  ,: #WYN4343                              ,  ,                         ,  ,    
17-0013009,0,3/1/17,18:04:31,551,Assist police or other governmental agency        ,0,0,12,HP             ,Hyde Park                                         ,2136,419,1 or 2 family dwelling                            ,27,  ,EASTON                   ,  ,AVE ,                                        ,  ,                         ,  ,    
17-0013011,0,3/1/17,18:21:14,651,"Smoke scare, odor of smoke                        ",0,0,4,BO             ,Boston                                            ,2111,500,"Mercantile, business, Other                       ",207,  ,SOUTH                    ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0013012,0,3/1/17,18:22:56,553,Public service                                    ,0,0,7,DO             ,Dorchester                                        ,2125,419,1 or 2 family dwelling                            ,765,  ,COLUMBIA                 ,  ,RD  ,                                        ,  ,                         ,  ,    
17-0013013,0,3/1/17,18:25:53,113,"Cooking fire, confined to container               ",0,0,8,DO             ,Dorchester                                        ,2124,419,1 or 2 family dwelling                            ,26,  ,LYNDHURST                ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0013015,0,3/1/17,18:26:44,652,"Steam, vapor, fog or dust thought to be smoke     ",0,0,12,WR             ,West Roxbury                                      ,2132,419,1 or 2 family dwelling                            ,347,  ,VERMONT                  ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0013016,0,3/1/17,18:26:56,424,Carbon monoxide incident                          ,0,0,6,SB             ,South Boston                                      ,2127,400,"Residential, Other                                ",31,  ,O                        ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0013019,0,3/1/17,18:30:40,735,Alarm system sounded due to malfunction           ,0,0,11,BR             ,Allston-Brighton                                  ,2135,162,Bar or nightclub                                  ,338,  ,WASHINGTON               ,  ,ST  ,: @PORTER BELLYS PUB - 338 WASHINGTON ST,  ,                         ,  ,    
17-0013021,0,3/1/17,18:37:20,113,"Cooking fire, confined to container               ",0,0,6,DO             ,Dorchester                                        ,2125,429,Multifamily dwelling                              ,1,  ,SOUTH POINT              ,  ,DR  ,: #14-1919                              ,  ,                         ,  ,    
17-0013025,0,3/1/17,18:47:02,413,Oil or other combustible liquid spill             ,0,0,9,RX             ,Roxbury                                           ,2115,963,Street or road in commercial area                 ,        ,  ,LONGWOOD                 ,  ,AVE ,: ALIAS LONGWOOD AVE/LOUIS PASTEUR AVE R,  ,AVENUE LOUIS PASTEUR     ,  ,    
17-0013028,0,3/1/17,19:02:36,554,Assist invalid                                    ,0,0,7,RX             ,Roxbury                                           ,2121,429,Multifamily dwelling                              ,340,  ,BLUE HILL                ,  ,AVE ,                                        ,  ,                         ,  ,    
17-0013029,0,3/1/17,19:04:55,733,Smoke detector activation due to malfunction      ,0,0,3,CH             ,Charlestown                                       ,2129,419,1 or 2 family dwelling                            ,48,  ,WASHINGTON               ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0013030,0,3/1/17,19:10:46,900T,BFD Drill                                         ,0,0,3,CH             ,Charlestown                                       ,2129,962,"Residential street, road or residential driveway  ",83,  ,MONUMENT                 ,  ,ST  ,                                        ,  ,                         ,  ,    
