Incident Number,Exposure Number,Alarm Date,Alarm Time,Incident Type,Incident Description,Estimated Property Loss,Estimated Content Loss,District,City Section,Neighborhood,Zip,Property Use,Property Description,Street Number,Street Prefix,Street Name,Street Type,Street Suffix,Address 2,xStreet Prefix,xStreet Name,xStreet Type,xStreet Suffix
17-0000014,0,01/01/17,1:43:16,600,"Good intent call, Other                           ",0,0,11,BR             ,Allston-Brighton                                  ,02135,962,"Residential street, road or residential driveway  ",10,  ,BELLAMY                  ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0000015,0,01/01/17,1:53:00,611,Dispatched & cancelled en route                   ,0,0,3,BO             ,Boston                                            ,02114,    ,NULL,65,  ,CAUSEWAY                 ,  ,ST  ,: alias 65 CAUSEWAY BO BSTN             ,  ,                         ,  ,    
17-0000017,0,01/01/17,2:07:26,553,Public service                                    ,0,0,1,EB             ,East Boston                                       ,02128,960,"Street, Other                                     ",184,  ,BREMEN                   ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0000018,0,01/01/17,2:26:56,522,Water or steam leak                               ,0,0,9,JP             ,Jamaica Plain                                     ,02130,419,1 or 2 family dwelling                            ,11,  ,LAKEVILLE                ,  ,RD  ,                                        ,  ,                         ,  ,    
17-0000021,0,01/01/17,3:11:18,651,"Smoke scare, odor of smoke                        ",0,0,11,BR             ,Allston-Brighton                                  ,02134,429,Multifamily dwelling                              ,4,  ,GARDNER                  ,  ,ST  ,:2ND FLOOR                              ,  ,                         ,  ,    
17-0000024,0,01/01/17,3:13:21,715,"Local alarm system, malicious false alarm         ",0,0,8,MT             ,Mattapan                                          ,02126,429,Multifamily dwelling                              ,47,  ,MATTAPAN                 ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0000025,0,01/01/17,3:24:29,600,"Good intent call, Other                           ",0,0,3,BO             ,Boston                                            ,02108,592,Bank                                              ,        ,  ,HARVARD                  ,  ,PL  ,                                        ,  ,WASHINGTON               ,  ,ST  
17-0000026,0,01/01/17,3:30:16,671,HazMat release investigation w/no HazMat          ,0,0,11,BR             ,Allston-Brighton                                  ,02134,429,Multifamily dwelling                              ,15,N ,BEACON                   ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0000027,0,01/01/17,3:38:51,444,Power line down                                   ,0,0,8,HP             ,Hyde Park                                         ,02126,400,"Residential, Other                                ",23,  ,RANLEY                   ,  ,RD  ,                                        ,  ,                         ,  ,    
17-0000029,0,01/01/17,3:49:12,743,"Smoke detector activation, no fire - unintentional",0,0,9,RX             ,Roxbury                                           ,02120,429,Multifamily dwelling                              ,54,  ,ANNUNCIATION             ,  ,RD  ,: #16-2335                              ,  ,                         ,  ,    
17-0000030,0,01/01/17,3:56:33,712,"Direct tie to FD, malicious false alarm           ",0,0,4,BO             ,Boston                                            ,02116,449,"Hotel/motel, commercial                           ",275,  ,TREMONT                  ,  ,ST  ,: #16-1515                              ,  ,                         ,  ,    
17-0000031,0,01/01/17,3:57:15,714,"Central station, malicious false alarm            ",0,0,9,RX             ,Roxbury                                           ,02121,429,Multifamily dwelling                              ,77-83   ,  ,MAPLE                    ,  ,ST  ,: #AFA7752                              ,  ,                         ,  ,    
17-0000032,0,01/01/17,4:07:16,711,"Municipal alarm system, malicious false alarm     ",0,0,11,BR             ,Allston-Brighton                                  ,02134,962,"Residential street, road or residential driveway  ",        ,  ,ATHOL                    ,  ,ST  ,: #5262                                 ,  ,BRENTWOOD                ,  ,ST  
17-0000033,0,01/01/17,4:13:23,715,"Local alarm system, malicious false alarm         ",0,0,9,RX             ,Roxbury                                           ,02120,429,Multifamily dwelling                              ,50,  ,ANNUNCIATION             ,  ,RD  ,:6 FLOOR                                ,  ,                         ,  ,    
17-0000035,0,01/01/17,4:27:35,553,Public service                                    ,0,0,6,SB             ,South Boston                                      ,02127,963,Street or road in commercial area                 ,        ,E ,SEVENTH                  ,  ,ST  ,: alias E 7TH/H                         ,  ,H                        ,  ,ST  
17-0000046,0,01/01/17,6:08:54,553,Public service                                    ,0,0,8,DO             ,Dorchester                                        ,02124,419,1 or 2 family dwelling                            ,32,  ,EVANS                    ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0000048,0,01/01/17,6:14:05,745,"Alarm system activation, no fire - unintentional  ",0,0,4,BO             ,Boston                                            ,02118,419,1 or 2 family dwelling                            ,290,  ,SHAWMUT                  ,  ,AVE ,                                        ,  ,                         ,  ,    
17-0000050,0,01/01/17,6:50:26,113,"Cooking fire, confined to container               ",0,0,7,DO             ,Dorchester                                        ,02122,511,Convenience store                                 ,1580,  ,DORCHESTER               ,  ,AVE ,: @TEDESCHI FOOD SHOPS - 1580 DORCHESTER,  ,                         ,  ,    
17-0000051,0,01/01/17,7:16:38,900,"Special type of incident, Other                   ",0,0,8,DO             ,Dorchester                                        ,02124,0,"Property Use, Other                               ",9,  ,GALLIVAN                 ,  ,BLVD,                                        ,  ,                         ,  ,    
17-0000052,0,01/01/17,7:16:53,900,"Special type of incident, Other                   ",0,0,8,DO             ,Dorchester                                        ,02124,0,"Property Use, Other                               ",9,  ,GALLIVAN                 ,  ,BLVD,                                        ,  ,                         ,  ,    
17-0000053,0,01/01/17,7:17:09,900,"Special type of incident, Other                   ",0,0,8,DO             ,Dorchester                                        ,02124,0,"Property Use, Other                               ",9,  ,GALLIVAN                 ,  ,BLVD,                                        ,  ,                         ,  ,    
17-0000054,0,01/01/17,7:17:24,900,"Special type of incident, Other                   ",0,0,8,DO             ,Dorchester                                        ,02124,0,"Property Use, Other                               ",9,  ,GALLIVAN                 ,  ,BLVD,                                        ,  ,                         ,  ,    
17-0000055,0,01/01/17,7:17:39,900,"Special type of incident, Other                   ",0,0,8,DO             ,Dorchester                                        ,02124,0,"Property Use, Other                               ",9,  ,GALLIVAN                 ,  ,BLVD,                                        ,  ,                         ,  ,    
17-0000056,0,01/01/17,7:24:48,511,Lock-out                                          ,0,0,8,MT             ,Mattapan                                          ,02126,400,"Residential, Other                                ",710,  ,WALK HILL                ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0000057,0,01/01/17,7:49:04,111,Building fire                                     ,0,0,     ,               ,NULL,01901,429,Multifamily dwelling                              ,        ,  ,CITY OF LYNN             ,  ,    ,: @LYNN 8271                            ,  ,                         ,  ,    
17-0000060,0,01/01/17,8:59:19,711,"Municipal alarm system, malicious false alarm     ",0,0,4,BO             ,Boston                                            ,02111,960,"Street, Other                                     ",        ,  ,ESSEX                    ,  ,ST  ,: #1472                                 ,  ,HARRISON                 ,  ,AVE 
17-0000062,0,01/01/17,9:48:53,900T,BFD Drill                                         ,0,0,3,BO             ,Boston                                            ,02109,174,Rapid transit station                             ,239,  ,ATLANTIC                 ,  ,AVE ,                                        ,  ,                         ,  ,    
17-0000064,0,01/01/17,9:58:56,553,Public service                                    ,0,0,9,RX             ,Roxbury                                           ,02120,429,Multifamily dwelling                              ,44A     ,  ,SAINT ALPHONSUS          ,  ,ST  ,: alias 44A ST ALPHONSUS                ,  ,                         ,  ,    
17-0000066,0,01/01/17,10:14:51,553,Public service                                    ,0,0,1,EB             ,East Boston                                       ,02128,962,"Residential street, road or residential driveway  ",249,  ,SARATOGA                 ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0000067,0,01/01/17,10:28:19,714,"Central station, malicious false alarm            ",0,0,4,RX             ,Roxbury                                           ,02118,429,Multifamily dwelling                              ,609,  ,COLUMBUS                 ,  ,AVE ,: #ATL361                               ,  ,                         ,  ,    
17-0000068,0,01/01/17,10:40:00,651,"Smoke scare, odor of smoke                        ",0,0,12,HP             ,Hyde Park                                         ,02136,459,Residential board and care                        ,985,  ,RIVER                    ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0000069,0,01/01/17,11:07:17,113,"Cooking fire, confined to container               ",0,200,4,RX             ,Roxbury                                           ,02118,429,Multifamily dwelling                              ,17,  ,LATTIMORE                ,  ,CT  ,                                        ,  ,                         ,  ,    
17-0000070,0,01/01/17,11:09:53,424,Carbon monoxide incident                          ,0,0,8,MT             ,Mattapan                                          ,02126,400,"Residential, Other                                ",481,  ,NORFOLK                  ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0000072,0,01/01/17,11:37:39,522,Water or steam leak                               ,0,0,9,RX             ,Roxbury                                           ,02119,429,Multifamily dwelling                              ,735,  ,SHAWMUT                  ,  ,AVE ,                                        ,  ,                         ,  ,    
17-0000076,0,01/01/17,11:48:21,745,"Alarm system activation, no fire - unintentional  ",0,0,8,MT             ,Mattapan                                          ,02126,419,1 or 2 family dwelling                            ,4,  ,VIOLANTE                 ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0000077,0,01/01/17,11:51:44,113,"Cooking fire, confined to container               ",0,200,4,BO             ,Boston                                            ,02118,439,"Boarding/rooming house, residential hotels        ",566,  ,MASSACHUSETTS            ,  ,AVE ,                                        ,  ,                         ,  ,    
17-0000078,0,01/01/17,11:53:29,113,"Cooking fire, confined to container               ",0,0,4,BO             ,Boston                                            ,02215,429,Multifamily dwelling                              ,39,  ,BAY STATE                ,  ,RD  ,                                        ,  ,                         ,  ,    
17-0000083,0,01/01/17,12:26:21,553,Public service                                    ,0,0,3,BO             ,Boston                                            ,02114,400,"Residential, Other                                ",33,  ,BLOSSOM                  ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0000088,0,01/01/17,13:27:05,113,"Cooking fire, confined to container               ",0,0,7,DO             ,Dorchester                                        ,02125,429,Multifamily dwelling                              ,554,  ,COLUMBIA                 ,  ,RD  ,: #INS430                               ,  ,                         ,  ,    
17-0000094,0,01/01/17,14:03:40,511,Lock-out                                          ,0,0,7,DO             ,Dorchester                                        ,02121,962,"Residential street, road or residential driveway  ",3,  ,CASTLEGATE               ,  ,RD  ,                                        ,  ,                         ,  ,    
17-0000096,0,01/01/17,14:13:31,113,"Cooking fire, confined to container               ",0,0,12,HP             ,Hyde Park                                         ,02136,419,1 or 2 family dwelling                            ,160,  ,WESTMINSTER              ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0000100,0,01/01/17,14:41:27,735,Alarm system sounded due to malfunction           ,0,0,12,JP             ,Jamaica Plain                                     ,02130,174,Rapid transit station                             ,3699,  ,WASHINGTON               ,  ,ST  ,: #33-2537                              ,  ,                         ,  ,    
17-0000101,0,01/01/17,14:43:26,600,"Good intent call, Other                           ",0,0,8,DO             ,Dorchester                                        ,02122,962,"Residential street, road or residential driveway  ",        ,  ,NEPONSET                 ,  ,AVE ,: alias NEPO/O                          ,  ,MONSIGNOR JOHN J. O'DONNE,  ,SQ  
17-0000103,0,01/01/17,14:48:29,113,"Cooking fire, confined to container               ",100,100,12,WR             ,West Roxbury                                      ,02132,311,"24-hour care Nursing homes, 4 or more persons     ",1190,  ,VFW                      ,  ,PKWY,: #13-2883                              ,  ,                         ,  ,    
17-0000104,0,01/01/17,14:51:43,743,"Smoke detector activation, no fire - unintentional",0,0,7,DO             ,Dorchester                                        ,02121,429,Multifamily dwelling                              ,87-99   ,  ,LAWRENCE                 ,  ,AVE ,: #INS875                               ,  ,                         ,  ,    
17-0000106,0,01/01/17,14:54:20,150,"Outside rubbish fire, Other                       ",0,0,1,EB             ,East Boston                                       ,02128,900,"Outside or special property, Other                ",343,  ,SARATOGA                 ,  ,ST  ,": @SCH-KENNEDY, P. J. ELEMENTARY SCHOOL ",  ,                         ,  ,    
17-0000109,0,01/01/17,14:58:49,113,"Cooking fire, confined to container               ",0,0,4,BO             ,Boston                                            ,02111,429,Multifamily dwelling                              ,120,  ,KINGSTON                 ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0000110,0,01/01/17,15:01:11,713,"Telephone, malicious false alarm                  ",0,0,3,BO             ,Boston                                            ,02113,429,Multifamily dwelling                              ,4,N ,BENNET                   ,  ,CT  ,                                        ,  ,                         ,  ,    
17-0000111,0,01/01/17,15:07:09,714,"Central station, malicious false alarm            ",0,0,7,DO             ,Dorchester                                        ,02124,400,"Residential, Other                                ",20,  ,WALES                    ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0000113,0,01/01/17,15:15:54,113,"Cooking fire, confined to container               ",0,0,8,DO             ,Dorchester                                        ,02122,429,Multifamily dwelling                              ,289,  ,CENTRE                   ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0000115,0,01/01/17,15:20:12,641,Vicinity alarm (incident in other location)       ,0,0,7,DO             ,Dorchester                                        ,02122,429,Multifamily dwelling                              ,161,  ,ADAMS                    ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0000117,0,01/01/17,15:33:59,652,"Steam, vapor, fog or dust thought to be smoke     ",0,0,6,SB             ,South Boston                                      ,02127,400,"Residential, Other                                ",102,  ,H                        ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0000119,0,01/01/17,15:37:19,151,"Outside rubbish, trash or waste fire              ",0,0,4,BO             ,Boston                                            ,02116,963,Street or road in commercial area                 ,75,  ,EXETER                   ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0000120,0,01/01/17,15:42:18,554,Assist invalid                                    ,0,0,9,RX             ,Roxbury                                           ,02120,900,"Outside or special property, Other                ",23,  ,SMITH                    ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0000121,0,01/01/17,15:42:28,413,Oil or other combustible liquid spill             ,0,0,7,RX             ,Roxbury                                           ,02121,960,"Street, Other                                     ",        ,  ,HUMBOLDT                 ,  ,AVE ,                                        ,  ,WAUMBECK                 ,  ,ST  
17-0000124,0,01/01/17,15:50:16,113,"Cooking fire, confined to container               ",0,0,7,DO             ,Dorchester                                        ,02121,429,Multifamily dwelling                              ,200-204 ,  ,COLUMBIA                 ,  ,RD  ,                                        ,  ,                         ,  ,    
17-0000125,0,01/01/17,15:51:31,711,"Municipal alarm system, malicious false alarm     ",0,0,4,BO             ,Boston                                            ,02116,963,Street or road in commercial area                 ,        ,  ,ESSEX                    ,  ,ST  ,: #1471                                 ,  ,WASHINGTON               ,  ,ST  
17-0000126,0,01/01/17,16:02:08,552,Police matter                                     ,0,0,3,BO             ,Boston                                            ,02111,963,Street or road in commercial area                 ,        ,  ,HAYWARD                  ,  ,PL  ,                                        ,  ,WASHINGTON               ,  ,ST  
17-0000128,0,01/01/17,16:14:43,745,"Alarm system activation, no fire - unintentional  ",0,0,3,BO             ,Boston                                            ,02114,400,"Residential, Other                                ",106,  ,MYRTLE                   ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0000129,0,01/01/17,16:18:49,555,"Defective elevator, no occupants                  ",0,0,7,DO             ,Dorchester                                        ,02127,952,Railroad yard                                     ,875,  ,COLUMBIA                 ,  ,RD  ,: @MBTA STA-JFK UMASS                   ,  ,                         ,  ,    
17-0000130,0,01/01/17,16:20:40,113,"Cooking fire, confined to container               ",0,0,11,BR             ,Allston-Brighton                                  ,02135,459,Residential board and care                        ,30,  ,WALLINGFORD              ,  ,RD  ,: #12-5331                              ,  ,                         ,  ,    
17-0000131,0,01/01/17,16:23:23,745,"Alarm system activation, no fire - unintentional  ",0,0,7,DO             ,Dorchester                                        ,02125,429,Multifamily dwelling                              ,465,  ,COLUMBIA                 ,  ,RD  ,                                        ,  ,                         ,  ,    
17-0000140,0,01/01/17,17:07:14,711,"Municipal alarm system, malicious false alarm     ",0,0,8,MT             ,Mattapan                                          ,02126,900,"Outside or special property, Other                ",        ,  ,BLUE HILL                ,  ,AVE ,: #3626                                 ,  ,MORTON                   ,  ,ST  
17-0000144,0,01/01/17,17:41:40,715,"Local alarm system, malicious false alarm         ",0,0,3,BO             ,Boston                                            ,02109,500,"Mercantile, business, Other                       ",200-299 ,  ,FANEUIL HALL MARKETPLACE ,  ,    ,: @QUINCY MARKET                        ,  ,                         ,  ,    
17-0000145,0,01/01/17,17:48:34,554,Assist invalid                                    ,0,0,12,HP             ,Hyde Park                                         ,02136,419,1 or 2 family dwelling                            ,15,  ,WILTON                   ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0000146,0,01/01/17,17:49:38,800,"Severe weather or natural disaster, Other         ",0,0,12,HP             ,Hyde Park                                         ,02136,419,1 or 2 family dwelling                            ,1508,  ,HYDE PARK                ,  ,AVE ,                                        ,  ,                         ,  ,    
17-0000148,0,01/01/17,18:02:41,553,Public service                                    ,0,0,11,BR             ,Allston-Brighton                                  ,02135,429,Multifamily dwelling                              ,17,  ,LANE                     ,  ,PARK,                                        ,  ,                         ,  ,    
17-0000151,0,01/01/17,18:16:15,424,Carbon monoxide incident                          ,0,0,6,SB             ,South Boston                                      ,02127,400,"Residential, Other                                ",58,  ,THOMAS                   ,  ,PARK,                                        ,  ,                         ,  ,    
17-0000155,0,01/01/17,18:32:33,730,"System malfunction, Other                         ",0,0,7,RX             ,Roxbury                                           ,02119,429,Multifamily dwelling                              ,2,  ,WAVERLY                  ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0000156,0,01/01/17,18:34:05,600,"Good intent call, Other                           ",0,0,9,RX             ,Roxbury                                           ,02119,900,"Outside or special property, Other                ",56,  ,CIRCUIT                  ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0000157,0,01/01/17,18:37:15,113,"Cooking fire, confined to container               ",300,300,7,DO             ,Dorchester                                        ,02124,429,Multifamily dwelling                              ,113,  ,GREENBRIER               ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0000158,0,01/01/17,18:40:04,424,Carbon monoxide incident                          ,0,0,3,CH             ,Charlestown                                       ,02129,429,Multifamily dwelling                              ,45,  ,TUFTS                    ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0000161,0,01/01/17,18:53:12,113,"Cooking fire, confined to container               ",0,0,6,SB             ,South Boston                                      ,02127,429,Multifamily dwelling                              ,547,E ,EIGHTH                   ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0000164,0,01/01/17,19:22:44,735,Alarm system sounded due to malfunction           ,0,0,4,RX             ,Roxbury                                           ,02120,429,Multifamily dwelling                              ,30,  ,CUNARD                   ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0000165,0,01/01/17,19:27:01,462,Aircraft standby                                  ,0,0,1,EB             ,East Boston                                       ,02128,973,Aircraft taxiway                                  ,204,  ,PRESCOTT                 ,  ,ST  ,": @LOG-TERM NORTH GATE 204 PRESCOTT ST, ",  ,                         ,  ,    
17-0000166,0,01/01/17,19:38:32,554,Assist invalid                                    ,0,0,7,DO             ,Dorchester                                        ,02125,429,Multifamily dwelling                              ,130,  ,AUCKLAND                 ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0000168,0,01/01/17,20:00:16,611,Dispatched & cancelled en route                   ,0,0,7,DO             ,Dorchester                                        ,02124,    ,NULL,14,  ,ABBOT                    ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0000171,0,01/01/17,20:40:18,743,"Smoke detector activation, no fire - unintentional",0,0,4,BO             ,Boston                                            ,02116,151,Library                                           ,666,  ,BOYLSTON                 ,  ,ST  ,: #21-1572                              ,  ,                         ,  ,    
17-0000172,0,01/01/17,20:44:37,551,Assist police or other governmental agency        ,0,0,3,BO             ,Boston                                            ,02110,174,Rapid transit station                             ,426,  ,WASHINGTON               ,  ,ST  ,: @MBTA STA-DT CR RED                   ,  ,                         ,  ,    
17-0000173,0,01/01/17,21:11:53,735,Alarm system sounded due to malfunction           ,0,0,4,BO             ,Boston                                            ,02115,429,Multifamily dwelling                              ,150,  ,HUNTINGTON               ,  ,AVE ,: #AFA2838                              ,  ,                         ,  ,    
17-0000175,0,01/01/17,21:25:18,671,HazMat release investigation w/no HazMat          ,0,0,11,BR             ,Allston-Brighton                                  ,02135,429,Multifamily dwelling                              ,335,  ,WASHINGTON               ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0000177,0,01/01/17,21:57:14,113,"Cooking fire, confined to container               ",0,0,7,DO             ,Dorchester                                        ,02122,429,Multifamily dwelling                              ,23,  ,MOUNT IDA                ,  ,RD  ,                                        ,  ,                         ,  ,    
17-0000179,0,01/01/17,22:16:03,554,Assist invalid                                    ,0,0,7,DO             ,Dorchester                                        ,02125,429,Multifamily dwelling                              ,130,  ,AUCKLAND                 ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0000180,0,01/01/17,22:26:25,554,Assist invalid                                    ,0,0,12,HP             ,Hyde Park                                         ,02136,419,1 or 2 family dwelling                            ,15,  ,WILTON                   ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0000181,0,01/01/17,22:27:08,553,Public service                                    ,0,0,6,               ,NULL,02127,962,"Residential street, road or residential driveway  ",198,  ,D                        ,  ,ST  ,: EST BOWEN ST/D ST SB BSTN             ,  ,                         ,  ,    
17-0000182,0,01/01/17,22:37:28,113,"Cooking fire, confined to container               ",0,0,4,BO             ,Boston                                            ,02215,429,Multifamily dwelling                              ,1120-113,  ,BOYLSTON                 ,  ,ST  ,: #13-1591                              ,  ,                         ,  ,    
17-0000183,0,01/01/17,22:55:29,131,Passenger vehicle fire                            ,12000,500,4,BO             ,Boston                                            ,02115,963,Street or road in commercial area                 ,        ,  ,GAINSBOROUGH             ,  ,ST  ,                                        ,  ,HUNTINGTON               ,  ,AVE 
17-0000185,0,01/01/17,23:01:27,652,"Steam, vapor, fog or dust thought to be smoke     ",0,0,6,SB             ,South Boston                                      ,02127,429,Multifamily dwelling                              ,795,E ,THIRD                    ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0000186,0,01/01/17,23:10:29,651,"Smoke scare, odor of smoke                        ",0,0,4,RX             ,Roxbury                                           ,02118,962,"Residential street, road or residential driveway  ",85,  ,LENOX                    ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0000187,0,01/01/17,23:17:23,113,"Cooking fire, confined to container               ",0,0,9,RX             ,Roxbury                                           ,02121,429,Multifamily dwelling                              ,129,  ,ELM HILL                 ,  ,AVE ,                                        ,  ,                         ,  ,    
17-0000191,0,01/02/17,0:05:38,510,"Person in distress, Other                         ",0,0,4,BO             ,Boston                                            ,02215,429,Multifamily dwelling                              ,125,  ,PETERBOROUGH             ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0000193,0,01/02/17,0:16:01,113,"Cooking fire, confined to container               ",0,0,7,DO             ,Dorchester                                        ,02124,429,Multifamily dwelling                              ,31,  ,CORONA                   ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0000194,0,01/02/17,0:30:06,411,Gasoline or other flammable liquid spill          ,0,0,4,SB             ,South Boston                                      ,02118,961,Highway or divided highway                        ,200,  ,FRONTAGE                 ,  ,RD  ,: @BOSTON POLICE-TRANSPORTATION - 200 FR,  ,                         ,  ,    
17-0000195,0,01/02/17,1:22:59,733,Smoke detector activation due to malfunction      ,0,0,6,SB             ,South Boston                                      ,02127,429,Multifamily dwelling                              ,50,W ,BROADWAY                 ,  ,    ,                                        ,  ,                         ,  ,    
17-0000196,0,01/02/17,1:38:39,611,Dispatched & cancelled en route                   ,0,0,12,HP             ,Hyde Park                                         ,02136,    ,NULL,50,  ,BEACON                   ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0000198,0,01/02/17,2:21:14,600,"Good intent call, Other                           ",0,0,6,SB             ,South Boston                                      ,02127,962,"Residential street, road or residential driveway  ",564,E ,THIRD                    ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0000200,0,01/02/17,2:36:41,652,"Steam, vapor, fog or dust thought to be smoke     ",0,0,4,BO             ,Boston                                            ,02118,429,Multifamily dwelling                              ,676,  ,TREMONT                  ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0000201,0,01/02/17,2:39:18,554,Assist invalid                                    ,0,0,3,BO             ,Boston                                            ,02114,400,"Residential, Other                                ",19,  ,MYRTLE                   ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0000203,0,01/02/17,3:45:45,554,Assist invalid                                    ,0,0,7,DO             ,Dorchester                                        ,02125,429,Multifamily dwelling                              ,130,  ,AUCKLAND                 ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0000204,0,01/02/17,3:52:32,733,Smoke detector activation due to malfunction      ,0,0,11,BR             ,Allston-Brighton                                  ,02134,429,Multifamily dwelling                              ,36,N ,BEACON                   ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0000207,0,01/02/17,4:33:10,735,Alarm system sounded due to malfunction           ,0,0,12,JP             ,Jamaica Plain                                     ,02130,161,Restaurant or cafeteria                           ,3708-371,  ,WASHINGTON               ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0000209,0,01/02/17,5:01:35,553,Public service                                    ,0,0,6,SB             ,South Boston                                      ,02127,429,Multifamily dwelling                              ,31,  ,SAINT CASIMIR            ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0000210,0,01/02/17,5:04:05,551,Assist police or other governmental agency        ,0,0,7,DO             ,Dorchester                                        ,02122,962,"Residential street, road or residential driveway  ",        ,  ,PARK                     ,  ,ST  ,                                        ,  ,BEACH                    ,  ,ST  
17-0000211,0,01/02/17,5:40:24,113,"Cooking fire, confined to container               ",0,0,3,BO             ,Boston                                            ,02114,400,"Residential, Other                                ",107,  ,MOUNT VERNON             ,  ,ST  ,: #CLM573                               ,  ,                         ,  ,    
