Incident Number,Exposure Number,Alarm Date,Alarm Time,Incident Type,Incident Description,Estimated Property Loss,Estimated Content Loss,District,City Section,Neighborhood,Zip,Property Use,Property Description,Street Number,Street Prefix,Street Name,Street Type,Street Suffix,Address 2,xStreet Prefix,xStreet Name,xStreet Type,xStreet Suffix
17-0006687,0,02/01/17,14:57:05,743,"Smoke detector activation, no fire - unintentional",0,0,9,RX             ,Roxbury                                           ,02121,429,Multifamily dwelling                              ,120,  ,HUMBOLDT                 ,  ,AVE ,                                        ,  ,                         ,  ,
17-0006688,0,02/01/17,14:59:00,735,Alarm system sounded due to malfunction           ,0,0,9,JP             ,Jamaica Plain                                     ,02130,429,Multifamily dwelling                              ,33,  ,FORBES                   ,  ,ST  ,                                        ,  ,                         ,  ,
17-0006689,0,02/01/17,14:59:30,743,"Smoke detector activation, no fire - unintentional",0,0,3,BO             ,Boston                                            ,02108,599,Business office                                   ,1,  ,BEACON                   ,  ,ST  ,: #14-1263                              ,  ,                         ,  ,
17-0006691,0,02/01/17,15:07:04,714,"Central station, malicious false alarm            ",0,0,9,RX             ,Roxbury                                           ,02115,429,Multifamily dwelling                              ,364,  ,BROOKLINE                ,  ,AVE ,: #14-2358                              ,  ,                         ,  ,
17-0006692,0,02/01/17,15:20:15,710,"Malicious, mischievous false call, Other          ",0,0,4,BO             ,Boston                                            ,02116,965,Vehicle parking area                              ,276,  ,TREMONT                  ,  ,ST  ,                                        ,  ,                         ,  ,
17-0006693,0,02/01/17,15:25:04,553,Public service                                    ,0,0,3,BO             ,Boston                                            ,02114,174,Rapid transit station                             ,50,  ,NEW SUDBURY              ,  ,ST  ,: @MBTA STA-HYMKT GRN                   ,  ,                         ,  ,
17-0006695,0,02/01/17,15:35:23,600,"Good intent call, Other                           ",0,0,12,MT             ,Mattapan                                          ,02131,960,"Street, Other                                     ",        ,  ,MORTON                   ,  ,ST  ,: alias MORTON ST/AMER LEGION HWY MT BST,  ,AMERICAN LEGION          ,  ,HWY
17-0006697,0,02/01/17,15:35:32,743,"Smoke detector activation, no fire - unintentional",0,0,11,BR             ,Allston-Brighton                                  ,02135,429,Multifamily dwelling                              ,1630,  ,COMMONWEALTH             ,  ,AVE ,                                        ,  ,                         ,  ,
17-0006698,0,02/01/17,15:36:26,600,"Good intent call, Other                           ",0,0,9,JP             ,Jamaica Plain                                     ,02130,962,"Residential street, road or residential driveway  ",14,  ,SEAVERNS                 ,  ,AVE ,                                        ,  ,                         ,  ,
17-0006699,0,02/01/17,15:36:47,400,"Hazardous condition, Other                        ",0,0,9,JP             ,Jamaica Plain                                     ,02130,965,Vehicle parking area                              ,57,  ,SEAVERNS                 ,  ,AVE ,                                        ,  ,                         ,  ,
17-0006701,0,02/01/17,15:38:16,413,Oil or other combustible liquid spill             ,0,0,9,JP             ,Jamaica Plain                                     ,02130,962,"Residential street, road or residential driveway  ",458,  ,AMORY                    ,  ,ST  ,                                        ,  ,                         ,  ,
17-0006703,0,02/01/17,15:40:23,653,"Smoke from barbecue, tar kettle                   ",0,0,9,JP             ,Jamaica Plain                                     ,02130,963,Street or road in commercial area                 ,197,  ,AMORY                    ,  ,ST  ,                                        ,  ,                         ,  ,
17-0006704,0,02/01/17,15:46:14,600,"Good intent call, Other                           ",0,0,9,RX             ,Roxbury                                           ,02119,963,Street or road in commercial area                 ,1655,  ,COLUMBUS                 ,  ,AVE ,                                        ,  ,                         ,  ,
17-0006705,0,02/01/17,15:49:16,900T,BFD Drill                                         ,0,0,11,               ,NULL,02134,888,Fire station                                      ,        ,  ,CAMBRIDGE                ,  ,ST  ,                                        ,  ,                         ,  ,
17-0006706,0,02/01/17,15:49:58,500,"Service Call, other                               ",0,0,6,SB             ,South Boston                                      ,02210,960,"Street, Other                                     ",300,  ,NORTHERN                 ,  ,AVE ,: @YANKEE LOBSTER FISH MARKET - 300 NORT,  ,                         ,  ,
17-0006707,0,02/01/17,15:54:37,900T,BFD Drill                                         ,0,0,11,               ,NULL,02134,888,Fire station                                      ,        ,  ,CAMBRIDGE                ,  ,ST  ,                                        ,  ,                         ,  ,
17-0006708,0,02/01/17,15:59:51,735,Alarm system sounded due to malfunction           ,0,0,7,DO             ,Dorchester                                        ,02125,200,"Educational, Other                                ",100,  ,WILLIAM T MORRISSEY      ,  ,BLVD,: #13-182                               ,  ,                         ,  ,
17-0006709,0,02/01/17,16:00:17,553,Public service                                    ,0,0,1,EB             ,East Boston                                       ,02128,900,"Outside or special property, Other                ",226,  ,PORTER                   ,  ,ST  ,                                        ,  ,                         ,  ,
17-0006710,0,02/01/17,16:00:37,500,"Service Call, other                               ",0,0,11,BR             ,Allston-Brighton                                  ,02134,254,"Day care, in commercial property                  ",419,  ,CAMBRIDGE                ,  ,ST  ,                                        ,  ,                         ,  ,
17-0006712,0,02/01/17,16:06:31,554,Assist invalid                                    ,0,0,4,BO             ,Boston                                            ,02215,429,Multifamily dwelling                              ,110,  ,PETERBOROUGH             ,  ,ST  ,                                        ,  ,                         ,  ,
17-0006714,0,02/01/17,16:07:17,500,"Service Call, other                               ",0,0,11,BR             ,Allston-Brighton                                  ,02134,254,"Day care, in commercial property                  ",43,  ,QUINT                    ,  ,AVE ,                                        ,  ,                         ,  ,
17-0006717,0,02/01/17,16:16:54,611,Dispatched & cancelled en route                   ,0,0,12,WR             ,West Roxbury                                      ,02132,    ,NULL,1832,  ,CENTRE                   ,  ,ST  ,                                        ,  ,                         ,  ,
17-0006719,0,02/01/17,16:19:20,500,"Service Call, other                               ",0,0,11,               ,NULL,02134,255,"Day care, in residence, licensed                  ",        ,  ,ALLSTON                  ,  ,ST  ,                                        ,  ,                         ,  ,
17-0006721,0,02/01/17,16:22:36,500,"Service Call, other                               ",0,0,11,BR             ,Allston-Brighton                                  ,02135,311,"24-hour care Nursing homes, 4 or more persons     ",246,  ,COREY                    ,  ,RD  ,                                        ,  ,                         ,  ,
17-0006722,0,02/01/17,16:23:17,500,"Service Call, other                               ",0,0,11,BR             ,Allston-Brighton                                  ,02135,459,Residential board and care                        ,210,  ,COREY                    ,  ,RD  ,                                        ,  ,                         ,  ,
17-0006723,0,02/01/17,16:23:57,500,"Service Call, other                               ",0,0,11,BR             ,Allston-Brighton                                  ,02135,311,"24-hour care Nursing homes, 4 or more persons     ",205,  ,COREY                    ,  ,RD  ,                                        ,  ,                         ,  ,
17-0006727,0,02/01/17,16:29:57,500,"Service Call, other                               ",0,0,11,BR             ,Allston-Brighton                                  ,02135,254,"Day care, in commercial property                  ",100,  ,WARREN                   ,  ,ST  ,                                        ,  ,                         ,  ,
17-0006729,0,02/01/17,16:30:30,500,"Service Call, other                               ",0,0,11,BR             ,Allston-Brighton                                  ,02135,210,"Schools, non-adult, other                         ",14,  ,WARREN                   ,  ,ST  ,                                        ,  ,                         ,  ,
17-0006730,0,02/01/17,16:32:37,500,"Service Call, other                               ",0,0,11,BR             ,Allston-Brighton                                  ,02134,210,"Schools, non-adult, other                         ",506,  ,CAMBRIDGE                ,  ,ST  ,                                        ,  ,                         ,  ,
17-0006731,0,02/01/17,16:33:03,500,"Service Call, other                               ",0,0,11,BR             ,Allston-Brighton                                  ,02134,210,"Schools, non-adult, other                         ",504,  ,CAMBRIDGE                ,  ,ST  ,                                        ,  ,                         ,  ,
17-0006732,0,02/01/17,16:33:34,500,"Service Call, other                               ",0,0,11,BR             ,Allston-Brighton                                  ,02134,254,"Day care, in commercial property                  ",504,  ,CAMBRIDGE                ,  ,ST  ,                                        ,  ,                         ,  ,
17-0006733,0,02/01/17,16:34:09,500,"Service Call, other                               ",0,0,11,BR             ,Allston-Brighton                                  ,02134,210,"Schools, non-adult, other                         ",504,  ,CAMBRIDGE                ,  ,ST  ,                                        ,  ,                         ,  ,
17-0006734,0,02/01/17,16:38:28,553,Public service                                    ,0,0,9,JP             ,Jamaica Plain                                     ,02130,900,"Outside or special property, Other                ",        ,  ,WASHINGTON               ,  ,ST  ,                                        ,  ,NEW WASHINGTON           ,  ,ST
17-0006741,0,02/01/17,17:41:55,653,"Smoke from barbecue, tar kettle                   ",0,0,4,BO             ,Boston                                            ,02118,419,1 or 2 family dwelling                            ,15,  ,WELLINGTON               ,  ,ST  ,                                        ,  ,                         ,  ,
17-0006744,0,02/01/17,17:49:47,651,"Smoke scare, odor of smoke                        ",0,0,8,DO             ,Dorchester                                        ,02122,419,1 or 2 family dwelling                            ,22,  ,TOLMAN                   ,  ,ST  ,                                        ,  ,                         ,  ,
17-0006745,0,02/01/17,17:53:52,553,Public service                                    ,0,0,8,HP             ,Hyde Park                                         ,02126,429,Multifamily dwelling                              ,4,  ,OAKCREST                 ,  ,RD  ,                                        ,  ,                         ,  ,
17-0006746,0,02/01/17,17:56:59,651,"Smoke scare, odor of smoke                        ",0,0,6,SB             ,South Boston                                      ,02127,429,Multifamily dwelling                              ,345,  ,DORCHESTER               ,  ,ST  ,                                        ,  ,                         ,  ,
17-0006747,0,02/01/17,17:57:16,711,"Municipal alarm system, malicious false alarm     ",0,0,8,DO             ,Dorchester                                        ,02124,960,"Street, Other                                     ",        ,  ,MORTON                   ,  ,ST  ,: #3538                                 ,  ,WILDWOOD                 ,  ,ST
17-0006748,0,02/01/17,18:13:46,113,"Cooking fire, confined to container               ",0,0,7,DO             ,Dorchester                                        ,02125,429,Multifamily dwelling                              ,15-21   ,  ,CARSON                   ,  ,ST  ,: #INS1052                              ,  ,                         ,  ,
17-0006750,0,02/01/17,18:19:52,553,Public service                                    ,0,0,6,DO             ,Dorchester                                        ,02118,963,Street or road in commercial area                 ,290,  ,SOUTHAMPTON              ,  ,ST  ,                                        ,  ,                         ,  ,
17-0006751,0,02/01/17,18:26:07,531,Smoke or odor removal                             ,0,0,12,WR             ,West Roxbury                                      ,02132,400,"Residential, Other                                ",17,  ,GOULD                    ,  ,ST  ,                                        ,  ,                         ,  ,
17-0006752,0,02/01/17,18:32:11,511,Lock-out                                          ,0,0,12,WR             ,West Roxbury                                      ,02132,549,Specialty shop                                    ,1530,  ,VFW                      ,  ,PKWY,                                        ,  ,                         ,  ,
17-0006753,0,02/01/17,18:35:16,411,Gasoline or other flammable liquid spill          ,0,0,8,DO             ,Dorchester                                        ,02122,900,"Outside or special property, Other                ",730,  ,WILLIAM T MORRISSEY      ,  ,BLVD,: @7-ELEVEN - 730 WILLIAM T MORRISSEY BL,  ,                         ,  ,
17-0006755,0,02/01/17,18:44:38,740,"Unintentional transmission of alarm, Other        ",0,0,6,SB             ,South Boston                                      ,02210,500,"Mercantile, business, Other                       ",23,  ,DRY DOCK                 ,  ,AVE ,: #INS1014                              ,  ,                         ,  ,
17-0006756,0,02/01/17,18:46:35,113,"Cooking fire, confined to container               ",0,0,4,BO             ,Boston                                            ,02115,429,Multifamily dwelling                              ,199,  ,MASSACHUSETTS            ,  ,AVE ,                                        ,  ,                         ,  ,
17-0006757,0,02/01/17,18:46:40,745,"Alarm system activation, no fire - unintentional  ",0,0,11,BR             ,Allston-Brighton                                  ,02135,429,Multifamily dwelling                              ,1932,  ,BEACON                   ,  ,ST  ,                                        ,  ,                         ,  ,
17-0006758,0,02/01/17,18:51:12,151,"Outside rubbish, trash or waste fire              ",0,0,12,WR             ,West Roxbury                                      ,02132,962,"Residential street, road or residential driveway  ",        ,  ,BELLE                    ,  ,AVE ,                                        ,  ,GOULD                    ,  ,ST
17-0006759,0,02/01/17,18:52:14,611,Dispatched & cancelled en route                   ,0,0,7,DO             ,Dorchester                                        ,02121,    ,NULL,1,  ,ELDON                    ,  ,ST  ,                                        ,  ,                         ,  ,
17-0006762,0,02/01/17,19:08:43,553,Public service                                    ,0,0,6,SB             ,South Boston                                      ,02210,569,"Professional supplies, services                   ",22,  ,LIBERTY                  ,  ,DR  ,                                        ,  ,                         ,  ,
17-0006764,0,02/01/17,19:23:52,671,HazMat release investigation w/no HazMat          ,0,0,11,BR             ,Allston-Brighton                                  ,02134,900,"Outside or special property, Other                ",194,  ,KELTON                   ,  ,ST  ,                                        ,  ,                         ,  ,
17-0006765,0,02/01/17,19:26:19,745,"Alarm system activation, no fire - unintentional  ",0,0,3,BO             ,Boston                                            ,02110,161,Restaurant or cafeteria                           ,255,  ,STATE                    ,  ,ST  ,: #12-1296                              ,  ,                         ,  ,
17-0006766,0,02/01/17,19:28:12,522,Water or steam leak                               ,0,0,6,SB             ,South Boston                                      ,02127,429,Multifamily dwelling                              ,442,E ,SIXTH                    ,  ,ST  ,                                        ,  ,                         ,  ,
17-0006767,0,02/01/17,19:28:53,715,"Local alarm system, malicious false alarm         ",0,0,7,RX             ,Roxbury                                           ,02119,429,Multifamily dwelling                              ,2,  ,WAVERLY                  ,  ,ST  ,                                        ,  ,                         ,  ,
17-0006768,0,02/01/17,19:30:47,500,"Service Call, other                               ",0,0,11,BR             ,Allston-Brighton                                  ,02135,429,Multifamily dwelling                              ,23,  ,LAKE SHORE               ,  ,CT  ,                                        ,  ,                         ,  ,
17-0006769,0,02/01/17,19:37:52,736,CO detector activation due to malfunction         ,0,0,8,DO             ,Dorchester                                        ,02124,419,1 or 2 family dwelling                            ,6,  ,ROCKNE                   ,  ,AVE ,                                        ,  ,                         ,  ,
17-0006770,0,02/01/17,19:42:47,550,"Public service assistance, Other                  ",0,0,6,RX             ,Roxbury                                           ,02118,519,"Food and beverage sales, grocery store            ",870,  ,MASSACHUSETTS            ,  ,AVE ,": @MCDONALDS - 870 MASSACHUSETTS AVE, RO",  ,                         ,  ,
17-0006772,0,02/01/17,19:43:14,711,"Municipal alarm system, malicious false alarm     ",0,0,8,DO             ,Dorchester                                        ,02124,960,"Street, Other                                     ",        ,  ,MORTON                   ,  ,ST  ,: #3538                                 ,  ,WILDWOOD                 ,  ,ST
