"Incident Number","Exposure Number","Alarm Date","Alarm Time","Incident Type","Incident Description","Estimated Property Loss","Estimated Content Loss","District","City Section","Neighborhood","Zip","Property Use","Property Description","Street Number","Street Prefix","Street Name","Street Suffix","Street Type","Address 2","XStreet Prefix","XStreet Name","XStreet Suffix","XStreet Type"
"17-0034130","0","06/01/2017","02:31:43","552 ","Police matter                                     ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","900 ","Outside or special property, Other                ","        ","  ","COLUMBIA                 ","  ","RD  ","                                        ","  ","EASTMAN                  ","  ","ST  "
"17-0034134","0","06/01/2017","03:03:22","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02124     ","    ","","788     ","  ","BLUE HILL                ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0034135","0","06/01/2017","03:05:54","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","429 ","Multifamily dwelling                              ","        ","  ","I                        ","  ","ST  ","                                        ","E ","EIGHTH                   ","  ","ST  "
"17-0034136","0","06/01/2017","03:08:46","650 ","Steam, Other gas mistaken for smoke, Other        ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","419 ","1 or 2 family dwelling                            ","18      ","  ","RANELEGH                 ","  ","RD  ","                                        ","  ","                         ","  ","    "
"17-0034138","0","06/01/2017","03:11:21","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02115     ","331 ","Hospital - medical or psychiatric                 ","330     ","  ","BROOKLINE                ","  ","AVE ",": #12-2353                              ","  ","                         ","  ","    "
"17-0034142","0","06/01/2017","06:03:46","641 ","Vicinity alarm (incident in other location)       ","0.0000","0.0000","07   ","               ","","02125     ","    ","","        ","  ","                         ","  ","    ",": @BR-BEADES                            ","  ","                         ","  ","    "
"17-0034145","0","06/01/2017","06:44:00","712 ","Direct tie to FD, malicious false alarm           ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","460 ","Dormitory-type residence, other                   ","90      ","  ","CUSHING                  ","  ","AVE ",": #12-1875                              ","  ","                         ","  ","    "
"17-0034146","0","06/01/2017","07:02:24","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02111     ","    ","","1       ","  ","KNAPP                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0034149","0","06/01/2017","07:29:58","550 ","Public service assistance, Other                  ","0.0000","0.0000","12   ","RS             ","Roslindale                                        ","02131     ","419 ","1 or 2 family dwelling                            ","576     ","  ","SOUTH                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0034150","0","06/01/2017","07:31:46","113 ","Cooking fire, confined to container               ","0.0000","0.0000","08   ","MT             ","Mattapan                                          ","02126     ","400 ","Residential, Other                                ","31      ","  ","FESSENDEN                ","  ","ST  ",": #INS338                               ","  ","                         ","  ","    "
"17-0034151","0","06/01/2017","07:53:27","600 ","Good intent call, Other                           ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02118     ","900 ","Outside or special property, Other                ","        ","  ","HARRISON                 ","  ","AVE ","                                        ","  ","NORTHAMPTON              ","  ","ST  "
"17-0034152","0","06/01/2017","08:00:48","652 ","Steam, vapor, fog or dust thought to be smoke     ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","960 ","Street, Other                                     ","        ","  ","NEWBURY                  ","  ","ST  ","                                        ","  ","CLARENDON                ","  ","ST  "
"17-0034154","0","06/01/2017","08:23:16","554 ","Assist invalid                                    ","0.0000","0.0000","12   ","HP             ","Hyde Park                                         ","02136     ","419 ","1 or 2 family dwelling                            ","42      ","  ","BUSINESS                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0034157","0","06/01/2017","08:47:07","531 ","Smoke or odor removal                             ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02122     ","592 ","Bank                                              ","217     ","  ","ADAMS                    ","  ","ST  ",": @CITIZENS BANK - 217 ADAMS ST, DORCHES","  ","                         ","  ","    "
"17-0034158","0","06/01/2017","08:48:33","412 ","Gas leak (natural gas or LPG)                     ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","429 ","Multifamily dwelling                              ","113     ","  ","PLEASANT                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0034159","0","06/01/2017","08:48:51","600 ","Good intent call, Other                           ","0.0000","0.0000","03   ","               ","","00000     ","900 ","Outside or special property, Other                ","        ","  ","RUTHERFORD AVE           ","  ","    ",": EST RUTHERFORD AVE/N WASHINGTON ST CH ","  ","                         ","  ","    "
"17-0034160","0","06/01/2017","09:06:28","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02119     ","    ","","        ","  ","MELNEA CASS              ","  ","BLVD",": alias CASS BLVD/MASSACHUSETTS AVE RX B","  ","MASSACHUSETTS            ","  ","AVE "
"17-0034162","0","06/01/2017","09:40:42","900T","BFD Drill                                         ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02109     ","941 ","Open ocean, sea or tidal waters                   ","98      ","  ","BATTERY                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0034163","0","06/01/2017","09:43:44","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","08   ","               ","","02126     ","    ","","        ","  ","BABSON                   ","  ","ST  ",": EST BABSON ST/FREMONT ST MT BSTN      ","  ","                         ","  ","    "
"17-0034164","0","06/01/2017","09:54:40","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","08   ","MT             ","Mattapan                                          ","02126     ","400 ","Residential, Other                                ","430     ","  ","RIVER                    ","  ","ST  ",": #12-3594                              ","  ","                         ","  ","    "
"17-0034165","0","06/01/2017","09:56:35","553 ","Public service                                    ","0.0000","0.0000","06   ","BO             ","Boston                                            ","02116     ","    ","","204     ","  ","CLARENDON                ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0034168","0","06/01/2017","10:10:17","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02467     ","    ","","232     ","  ","ALLANDALE                ","  ","RD  ",": #WYN3855                              ","  ","                         ","  ","    "
"17-0034169","0","06/01/2017","10:22:51","600 ","Good intent call, Other                           ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02119     ","963 ","Street or road in commercial area                 ","1841    ","  ","COLUMBUS                 ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0034172","0","06/01/2017","10:30:47","651 ","Smoke scare, odor of smoke                        ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02130     ","429 ","Multifamily dwelling                              ","37      ","  ","WALDEN                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0034173","0","06/01/2017","10:32:32","400 ","Hazardous condition, Other                        ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02120     ","965 ","Vehicle parking area                              ","170     ","  ","FISHER                   ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0034174","0","06/01/2017","10:36:56","900T","BFD Drill                                         ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","900 ","Outside or special property, Other                ","450     ","  ","OLD COLONY               ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0034176","0","06/01/2017","10:46:28","113 ","Cooking fire, confined to container               ","0.0000","0.0000","08   ","MT             ","Mattapan                                          ","02126     ","400 ","Residential, Other                                ","31A     ","  ","FESSENDEN                ","  ","ST  ",": #INS348                               ","  ","                         ","  ","    "
"17-0034177","0","06/01/2017","10:46:44","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02130     ","    ","","82      ","  ","GREEN                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0034180","0","06/01/2017","10:59:31","736 ","CO detector activation due to malfunction         ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02122     ","419 ","1 or 2 family dwelling                            ","121     ","  ","ELMER                    ","  ","RD  ","                                        ","  ","                         ","  ","    "
"17-0034181","0","06/01/2017","11:05:16","413 ","Oil or other combustible liquid spill             ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02120     ","963 ","Street or road in commercial area                 ","296     ","  ","PARKER HILL              ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0034182","0","06/01/2017","11:07:12","400 ","Hazardous condition, Other                        ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02130     ","962 ","Residential street, road or residential driveway  ","145     ","  ","MINDEN                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0034184","0","06/01/2017","11:08:51","500 ","Service Call, other                               ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","215 ","High school/junior high school/middle school      ","150     ","  ","WILLIAM T MORRISSEY      ","  ","BLVD","                                        ","  ","                         ","  ","    "
"17-0034185","0","06/01/2017","11:12:24","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","116 ","Swimming facility: indoor or outdoor              ","165     ","  ","WILLIAM J DAY            ","  ","BLVD",": @BEACH-CARSON BEACH - 165 DAY BLVD, SB","  ","                         ","  ","    "
"17-0034187","0","06/01/2017","11:14:56","714 ","Central station, malicious false alarm            ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02199     ","500 ","Mercantile, business, Other                       ","888     ","  ","BOYLSTON                 ","  ","ST  ",": #12-1573                              ","  ","                         ","  ","    "
"17-0034188","0","06/01/2017","11:17:29","411 ","Gasoline or other flammable liquid spill          ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","962 ","Residential street, road or residential driveway  ","845     ","  ","BLUE HILL                ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0034189","0","06/01/2017","11:19:42","554 ","Assist invalid                                    ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","429 ","Multifamily dwelling                              ","7       ","  ","MONSIGNOR PATRICK J. LYDO","  ","WAY ",": alias 7 LYDON                         ","  ","                         ","  ","    "
"17-0034190","0","06/01/2017","11:32:54","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","429 ","Multifamily dwelling                              ","199     ","  ","H                        ","  ","ST  ",": #12-7422                              ","  ","                         ","  ","    "
"17-0034191","0","06/01/2017","11:35:40","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02119     ","    ","","89      ","  ","WALNUT                   ","  ","AVE ",": @DAVIS FUNERAL HOMES INC - 89 WALNUT A","  ","                         ","  ","    "
"17-0034193","0","06/01/2017","11:59:38","553 ","Public service                                    ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02119     ","960 ","Street, Other                                     ","        ","  ","MASSACHUSETTS            ","  ","AVE ","                                        ","  ","MELNEA CASS              ","  ","BLVD"
"17-0034196","0","06/01/2017","12:15:31","653 ","Smoke from barbecue, tar kettle                   ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02130     ","549 ","Specialty shop                                    ","749     ","  ","CENTRE                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0034199","0","06/01/2017","12:36:17","445 ","Arcing, shorted electrical equipment              ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02121     ","963 ","Street or road in commercial area                 ","202     ","  ","SEAVER                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0034200","0","06/01/2017","12:36:25","113 ","Cooking fire, confined to container               ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","429 ","Multifamily dwelling                              ","8       ","  ","SUMNER                   ","  ","SQ  ","                                        ","  ","                         ","  ","    "
"17-0034201","0","06/01/2017","12:41:16","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02121     ","400 ","Residential, Other                                ","495     ","  ","BLUE HILL                ","  ","AVE ",": #12-1792                              ","  ","                         ","  ","    "
"17-0034203","0","06/01/2017","12:44:16","553 ","Public service                                    ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02122     ","900 ","Outside or special property, Other                ","784     ","  ","GALLIVAN                 ","  ","BLVD","                                        ","  ","                         ","  ","    "
"17-0034209","0","06/01/2017","13:00:06","440 ","Electrical  wiring/equipment problem, Other       ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02119     ","965 ","Vehicle parking area                              ","77      ","  ","SHIRLEY                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0034211","0","06/01/2017","13:08:02","111 ","Building fire                                     ","7000.0000","10000.0000","08   ","MT             ","Mattapan                                          ","02126     ","564 ","Laundry, dry cleaning                             ","1328    ","  ","BLUE HILL                ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0034212","0","06/01/2017","13:13:08","113 ","Cooking fire, confined to container               ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02130     ","215 ","High school/junior high school/middle school      ","144     ","  ","MCBRIDE                  ","  ","ST  ",": #13-2551                              ","  ","                         ","  ","    "
"17-0034213","0","06/01/2017","13:16:52","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","09   ","RS             ","Roslindale                                        ","02131     ","    ","","1200    ","  ","CENTRE                   ","  ","ST  ",": @HEBREW REHABILITATION CENTER         ","  ","                         ","  ","    "
"17-0034214","0","06/01/2017","13:20:28","600 ","Good intent call, Other                           ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","429 ","Multifamily dwelling                              ","8       ","  ","FIDELIS                  ","  ","WAY ","                                        ","  ","                         ","  ","    "
"17-0034219","0","06/01/2017","13:28:54","553 ","Public service                                    ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02119     ","429 ","Multifamily dwelling                              ","104     ","  ","MARCELLA                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0034223","0","06/01/2017","13:42:05","714 ","Central station, malicious false alarm            ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","579 ","Motor vehicle or boat sales, services, repair     ","275     ","  ","DORCHESTER               ","  ","AVE ",": @MBTA CABOT YARDS - 275 DORCHESTER AV,","  ","                         ","  ","    "
"17-0034225","0","06/01/2017","13:53:30","511 ","Lock-out                                          ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02124     ","900 ","Outside or special property, Other                ","74      ","  ","TONAWANDA                ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0034226","0","06/01/2017","13:54:40","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02122     ","460 ","Dormitory-type residence, other                   ","330     ","  ","BOWDOIN                  ","  ","ST  ",": #12-1892                              ","  ","                         ","  ","    "
"17-0034227","0","06/01/2017","14:01:51","551 ","Assist police or other governmental agency        ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","429 ","Multifamily dwelling                              ","689     ","E ","FOURTH                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0034229","0","06/01/2017","14:05:19","600 ","Good intent call, Other                           ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","962 ","Residential street, road or residential driveway  ","38      ","  ","LITHGOW                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0034231","0","06/01/2017","14:26:49","735 ","Alarm system sounded due to malfunction           ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02108     ","449 ","Hotel/motel, commercial                           ","25      ","  ","CHARLES                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0034233","0","06/01/2017","14:29:58","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","12   ","WR             ","West Roxbury                                      ","02132     ","215 ","High school/junior high school/middle school      ","235     ","  ","BAKER                    ","  ","ST  ",": #13-288                               ","  ","                         ","  ","    "
"17-0034234","0","06/01/2017","14:30:14","600 ","Good intent call, Other                           ","0.0000","0.0000","03   ","CH             ","Charlestown                                       ","02129     ","962 ","Residential street, road or residential driveway  ","58      ","  ","DUNSTABLE                ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0034235","0","06/01/2017","14:36:00","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","07   ","BO             ","Boston                                            ","02118     ","429 ","Multifamily dwelling                              ","35      ","  ","NORTHAMPTON              ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0034242","0","06/01/2017","14:51:45","600 ","Good intent call, Other                           ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","419 ","1 or 2 family dwelling                            ","3-B     ","  ","AGUADILLA                ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0034247","0","06/01/2017","15:26:37","440 ","Electrical  wiring/equipment problem, Other       ","0.0000","0.0000","01   ","EB             ","East Boston                                       ","02128     ","963 ","Street or road in commercial area                 ","1097    ","  ","SARATOGA                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0034248","0","06/01/2017","15:35:10","553 ","Public service                                    ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02119     ","960 ","Street, Other                                     ","1       ","  ","CIRCUIT                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0034249","0","06/01/2017","15:36:39","113 ","Cooking fire, confined to container               ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02134     ","429 ","Multifamily dwelling                              ","84      ","  ","GORDON                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0034256","0","06/01/2017","16:02:12","553 ","Public service                                    ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02119     ","900 ","Outside or special property, Other                ","        ","  ","MELNEA CASS              ","  ","BLVD",": alias CASS BLVD/MASSACHUSETTS AVE RX B","  ","MASSACHUSETTS            ","  ","AVE "
"17-0034257","0","06/01/2017","16:05:34","550 ","Public service assistance, Other                  ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02199     ","449 ","Hotel/motel, commercial                           ","39      ","  ","DALTON                   ","  ","ST  ",": @HOTEL-SHERATON-BOSTON - 39 DALTON ST,","  ","                         ","  ","    "
"17-0034262","0","06/01/2017","16:37:01","440 ","Electrical  wiring/equipment problem, Other       ","0.0000","0.0000","12   ","RS             ","Roslindale                                        ","02131     ","962 ","Residential street, road or residential driveway  ","61      ","  ","WHITFORD                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0034264","0","06/01/2017","17:05:13","600 ","Good intent call, Other                           ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","429 ","Multifamily dwelling                              ","57      ","  ","COOPER                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0034265","0","06/01/2017","17:09:37","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","03   ","               ","","00000     ","    ","","        ","  ","RUTHERFORD               ","  ","AV  ",": @BR-CHARLESTOWN                       ","  ","                         ","  ","    "
"17-0034266","0","06/01/2017","17:09:51","641 ","Vicinity alarm (incident in other location)       ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","429 ","Multifamily dwelling                              ","51-53   ","N ","WASHINGTON               ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0034270","0","06/01/2017","17:28:27","735 ","Alarm system sounded due to malfunction           ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02111     ","519 ","Food and beverage sales, grocery store            ","254     ","  ","HARRISON                 ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0034271","0","06/01/2017","17:28:53","151 ","Outside rubbish, trash or waste fire              ","1000.0000","1000.0000","12   ","WR             ","West Roxbury                                      ","02132     ","900 ","Outside or special property, Other                ","152     ","  ","BAKER                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0034272","0","06/01/2017","17:31:22","600 ","Good intent call, Other                           ","0.0000","0.0000","12   ","HP             ","Hyde Park                                         ","02136     ","962 ","Residential street, road or residential driveway  ","1078    ","  ","HYDE PARK                ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0034273","0","06/01/2017","17:32:59","740 ","Unintentional transmission of alarm, Other        ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02215     ","110 ","Fixed-use recreation places, other                ","24      ","  ","YAWKEY                   ","  ","WAY ","                                        ","  ","                         ","  ","    "
"17-0034274","0","06/01/2017","17:33:18","411 ","Gasoline or other flammable liquid spill          ","0.0000","0.0000","01   ","EB             ","East Boston                                       ","02128     ","960 ","Street, Other                                     ","373     ","  ","BORDER                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0034276","0","06/01/2017","17:40:48","511 ","Lock-out                                          ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02119     ","429 ","Multifamily dwelling                              ","244     ","  ","WARREN                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0034278","0","06/01/2017","17:51:11","740 ","Unintentional transmission of alarm, Other        ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","429 ","Multifamily dwelling                              ","1980    ","  ","COMMONWEALTH             ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0034279","0","06/01/2017","17:52:02","113 ","Cooking fire, confined to container               ","0.0000","0.0000","01   ","EB             ","East Boston                                       ","02128     ","429 ","Multifamily dwelling                              ","2       ","  ","MONSIGNOR ALBERT A. JACOB","  ","RD  ",": #13-6151                              ","  ","                         ","  ","    "
"17-0034280","0","06/01/2017","17:53:06","715 ","Local alarm system, malicious false alarm         ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","400 ","Residential, Other                                ","847     ","E ","FOURTH                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0034282","0","06/01/2017","18:08:19","113 ","Cooking fire, confined to container               ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","429 ","Multifamily dwelling                              ","60      ","  ","JOY                      ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0034283","0","06/01/2017","18:26:26","550 ","Public service assistance, Other                  ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02122     ","429 ","Multifamily dwelling                              ","6       ","  ","QUEEN                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0034284","0","06/01/2017","18:45:26","553 ","Public service                                    ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02111     ","963 ","Street or road in commercial area                 ","10      ","  ","OXFORD                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0034286","0","06/01/2017","18:54:59","553 ","Public service                                    ","0.0000","0.0000","12   ","RS             ","Roslindale                                        ","02131     ","900 ","Outside or special property, Other                ","        ","  ","MOUNT CALVARY            ","  ","RD  ",": alias MT CALV/CUMM                    ","  ","CUMMINS                  ","  ","HWY "
"17-0034287","0","06/01/2017","18:55:38","711 ","Municipal alarm system, malicious false alarm     ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","174 ","Rapid transit station                             ","121     ","  ","SAVIN HILL               ","  ","AVE ",": #33-186                               ","  ","                         ","  ","    "
"17-0034290","0","06/01/2017","19:09:18","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02130     ","    ","","111     ","  ","PERKINS                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0034291","0","06/01/2017","19:11:53","715 ","Local alarm system, malicious false alarm         ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","331 ","Hospital - medical or psychiatric                 ","45      ","  ","FRUIT                    ","  ","ST  ",": #42-135                               ","  ","                         ","  ","    "
"17-0034292","0","06/01/2017","19:15:46","553 ","Public service                                    ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02119     ","400 ","Residential, Other                                ","40      ","  ","WINTHROP                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0034296","0","06/01/2017","19:34:07","652 ","Steam, vapor, fog or dust thought to be smoke     ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02130     ","963 ","Street or road in commercial area                 ","192     ","  ","AMORY                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0034299","0","06/01/2017","19:45:20","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02121     ","429 ","Multifamily dwelling                              ","77-83   ","  ","MAPLE                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0034302","0","06/01/2017","19:58:52","553 ","Public service                                    ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02134     ","900 ","Outside or special property, Other                ","460     ","  ","CAMBRIDGE                ","  ","ST  ",": @BFD ENG 41                           ","  ","                         ","  ","    "
