"Incident Number","Exposure Number","Alarm Date","Alarm Time","Incident Type","Incident Description","Estimated Property Loss","Estimated Content Loss","District","City Section","Neighborhood","Zip","Property Use","Property Description","Street Number","Street Prefix","Street Name","Street Suffix","Street Type","Address 2","XStreet Prefix","XStreet Name","XStreet Suffix","XStreet Type"
"17-0072519","0","11/01/2017","06:21:09","113 ","Cooking fire, confined to container               ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","429 ","Multifamily dwelling                              ","45      ","  ","SCHOOL                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0072520","0","11/01/2017","06:28:59","735 ","Alarm system sounded due to malfunction           ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","100 ","Assembly, Other                                   ","650     ","  ","DUDLEY                   ","  ","ST  ",": @KROC CENTER - 650 DUDLEY ST, DO      ","  ","                         ","  ","    "
"17-0072521","0","11/01/2017","06:31:45","700 ","False alarm or false call, Other                  ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","429 ","Multifamily dwelling                              ","300     ","  ","HARRISON                 ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0072524","0","11/01/2017","06:38:21","600 ","Good intent call, Other                           ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02119     ","400 ","Residential, Other                                ","144     ","  ","DUDLEY                   ","  ","ST  ",": @HOTEL-DARMOUTH HOTEL LTD - 144 DUDLEY","  ","                         ","  ","    "
"17-0072525","0","11/01/2017","06:48:12","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02134     ","    ","","165     ","  ","KELTON                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0072529","0","11/01/2017","07:22:27","412 ","Gas leak (natural gas or LPG)                     ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02115     ","429 ","Multifamily dwelling                              ","30      ","  ","HEMENWAY                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0072530","0","11/01/2017","07:23:09","900A","FIU activity  (not covered by other inc types)    ","0.0000","0.0000","03   ","CH             ","Charlestown                                       ","02129     ","965 ","Vehicle parking area                              ","        ","  ","MEDFORD                  ","  ","ST  ","                                        ","  ","TUFTS                    ","  ","ST  "
"17-0072532","0","11/01/2017","07:31:58","412 ","Gas leak (natural gas or LPG)                     ","0.0000","0.0000","12   ","HP             ","Hyde Park                                         ","02136     ","419 ","1 or 2 family dwelling                            ","16      ","  ","LEXINGTON                ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0072534","0","11/01/2017","07:45:27","735 ","Alarm system sounded due to malfunction           ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02215     ","429 ","Multifamily dwelling                              ","775     ","  ","COMMONWEALTH             ","  ","AVE ",": #BU418                                ","  ","                         ","  ","    "
"17-0072540","0","11/01/2017","08:25:15","554 ","Assist invalid                                    ","0.0000","0.0000","08   ","MT             ","Mattapan                                          ","02126     ","429 ","Multifamily dwelling                              ","585     ","  ","NORFOLK                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0072541","0","11/01/2017","08:26:55","412 ","Gas leak (natural gas or LPG)                     ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02120     ","429 ","Multifamily dwelling                              ","190     ","  ","ALLEGHANY                ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0072542","0","11/01/2017","08:31:36","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","12   ","WR             ","West Roxbury                                      ","02132     ","429 ","Multifamily dwelling                              ","111     ","  ","GROVE                    ","  ","ST  ",": #WYN4635                              ","  ","                         ","  ","    "
"17-0072548","0","11/01/2017","08:59:40","424 ","Carbon monoxide incident                          ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02120     ","429 ","Multifamily dwelling                              ","190     ","  ","ALLEGHANY                ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0072549","0","11/01/2017","09:11:16","714 ","Central station, malicious false alarm            ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02215     ","460 ","Dormitory-type residence, other                   ","208     ","  ","BAY STATE                ","  ","RD  ",": #BU249                                ","  ","                         ","  ","    "
"17-0072553","0","11/01/2017","09:20:35","412 ","Gas leak (natural gas or LPG)                     ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02130     ","419 ","1 or 2 family dwelling                            ","        ","  ","CENTRE                   ","  ","ST  ","                                        ","  ","BURROUGHS                ","  ","ST  "
"17-0072554","0","11/01/2017","09:24:38","714 ","Central station, malicious false alarm            ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","500 ","Mercantile, business, Other                       ","224     ","  ","CLARENDON                ","  ","ST  ",": #INS643                               ","  ","                         ","  ","    "
"17-0072559","0","11/01/2017","09:58:33","213 ","Steam rupture of pressure or process vessel       ","0.0000","0.0000","09   ","RS             ","Roslindale                                        ","02131     ","960 ","Street, Other                                     ","168     ","  ","WALTER                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0072560","0","11/01/2017","09:58:49","553 ","Public service                                    ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02115     ","963 ","Street or road in commercial area                 ","        ","  ","VINING                   ","  ","ST  ","                                        ","  ","FRANCIS                  ","  ","ST  "
"17-0072561","0","11/01/2017","10:05:55","400 ","Hazardous condition, Other                        ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02119     ","400 ","Residential, Other                                ","21      ","  ","KENILWORTH               ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0072562","0","11/01/2017","10:11:03","400 ","Hazardous condition, Other                        ","0.0000","0.0000","12   ","RS             ","Roslindale                                        ","02131     ","419 ","1 or 2 family dwelling                            ","39      ","  ","CORNELL                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0072563","0","11/01/2017","10:16:30","113 ","Cooking fire, confined to container               ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02115     ","429 ","Multifamily dwelling                              ","255     ","  ","MASSACHUSETTS            ","  ","AVE ",": #PAT1717                              ","  ","                         ","  ","    "
"17-0072565","0","11/01/2017","10:22:23","113 ","Cooking fire, confined to container               ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02121     ","429 ","Multifamily dwelling                              ","504     ","  ","BLUE HILL                ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0072568","0","11/01/2017","10:31:16","900 ","Special type of incident, Other                   ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","200 ","Educational, Other                                ","54      ","  ","DIGHTON                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0072569","0","11/01/2017","10:31:38","900 ","Special type of incident, Other                   ","0.0000","0.0000","07   ","               ","","02127     ","960 ","Street, Other                                     ","        ","  ","WILLIAM T MORRISSEY      ","  ","BLVD","                                        ","  ","                         ","  ","    "
"17-0072570","0","11/01/2017","10:33:34","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","    ","","1       ","  ","SCIENCE                  ","  ","PARK",": @MUS-MUSEUM OF SCIENCE - 1 SCIENCE PAR","  ","                         ","  ","    "
"17-0072571","0","11/01/2017","10:38:22","744 ","Detector activation, no fire - unintentional      ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","429 ","Multifamily dwelling                              ","620     ","  ","COLUMBIA                 ","  ","RD  ",": #WYN3921                              ","  ","                         ","  ","    "
"17-0072574","0","11/01/2017","10:50:25","900 ","Special type of incident, Other                   ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","200 ","Educational, Other                                ","198     ","  ","STRATHMORE               ","  ","RD  ","                                        ","  ","                         ","  ","    "
"17-0072576","0","11/01/2017","10:55:19","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","    ","","130     ","  ","AUCKLAND                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0072577","0","11/01/2017","11:01:04","651 ","Smoke scare, odor of smoke                        ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","511 ","Convenience store                                 ","851     ","  ","WASHINGTON               ","  ","ST  ",": @FULLER MARKET - 851 WASHINGTON ST, DO","  ","                         ","  ","    "
"17-0072581","0","11/01/2017","11:20:43","400 ","Hazardous condition, Other                        ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","963 ","Street or road in commercial area                 ","        ","  ","CAMBRIDGE                ","  ","ST  ","                                        ","  ","STANIFORD                ","  ","ST  "
"17-0072583","0","11/01/2017","11:35:09","712 ","Direct tie to FD, malicious false alarm           ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","429 ","Multifamily dwelling                              ","150     ","  ","STANIFORD                ","  ","ST  ",": #13-1342                              ","  ","                         ","  ","    "
"17-0072584","0","11/01/2017","11:46:03","746 ","Carbon monoxide detector activation, no CO        ","0.0000","0.0000","12   ","WR             ","West Roxbury                                      ","02132     ","500 ","Mercantile, business, Other                       ","1858    ","  ","CENTRE                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0072587","0","11/01/2017","12:10:56","712 ","Direct tie to FD, malicious false alarm           ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02215     ","963 ","Street or road in commercial area                 ","180     ","  ","RIVERWAY                 ","  ","    ",": #13-2354                              ","  ","                         ","  ","    "
"17-0072589","0","11/01/2017","12:20:00","736 ","CO detector activation due to malfunction         ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","439 ","Boarding/rooming house, residential hotels        ","10      ","  ","UNION                    ","  ","PARK",": ALIAS 10 UNION PK                     ","  ","                         ","  ","    "
"17-0072590","0","11/01/2017","12:24:32","440 ","Electrical  wiring/equipment problem, Other       ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","400 ","Residential, Other                                ","212     ","  ","WASHINGTON               ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0072593","0","11/01/2017","12:29:29","714 ","Central station, malicious false alarm            ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","429 ","Multifamily dwelling                              ","563     ","  ","COLUMBUS                 ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0072595","0","11/01/2017","12:42:41","113 ","Cooking fire, confined to container               ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","429 ","Multifamily dwelling                              ","365     ","  ","FANEUIL                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0072597","0","11/01/2017","12:43:41","552 ","Police matter                                     ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02130     ","151 ","Library                                           ","433     ","  ","CENTRE                   ","  ","ST  ",": @BPL-CONNOLLY BRANCH LIBRARY          ","  ","                         ","  ","    "
"17-0072603","0","11/01/2017","12:53:58","715 ","Local alarm system, malicious false alarm         ","0.0000","0.0000","12   ","RS             ","Roslindale                                        ","02131     ","900 ","Outside or special property, Other                ","37      ","  ","MAYNARD                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0072604","0","11/01/2017","13:01:41","651 ","Smoke scare, odor of smoke                        ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02122     ","200 ","Educational, Other                                ","23      ","  ","LEONARD                  ","  ","ST  ",": @SCH-HELEN DAVIS LEADERSHIP ACADEMY CH","  ","                         ","  ","    "
"17-0072606","0","11/01/2017","13:07:42","553 ","Public service                                    ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","900 ","Outside or special property, Other                ","        ","  ","HARRISON                 ","  ","AVE ","                                        ","E ","CONCORD                  ","  ","ST  "
"17-0072607","0","11/01/2017","13:08:07","113 ","Cooking fire, confined to container               ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","429 ","Multifamily dwelling                              ","15-27   ","  ","MYRTLE                   ","  ","ST  ",": #12-1364                              ","  ","                         ","  ","    "
"17-0072608","0","11/01/2017","13:09:30","712 ","Direct tie to FD, malicious false alarm           ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","500 ","Mercantile, business, Other                       ","116     ","  ","HUNTINGTON               ","  ","AVE ",": #17-1565                              ","  ","                         ","  ","    "
"17-0072609","0","11/01/2017","13:10:04","715 ","Local alarm system, malicious false alarm         ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","429 ","Multifamily dwelling                              ","1       ","  ","CANAL                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0072610","0","11/01/2017","13:16:08","550 ","Public service assistance, Other                  ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02134     ","963 ","Street or road in commercial area                 ","61      ","N ","BEACON                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0072611","0","11/01/2017","13:17:15","553 ","Public service                                    ","0.0000","0.0000","06   ","DO             ","Dorchester                                        ","02125     ","963 ","Street or road in commercial area                 ","        ","  ","SOUTHAMPTON              ","  ","ST  ","                                        ","  ","FRONTAGE                 ","  ","RD  "
"17-0072612","0","11/01/2017","13:17:24","553 ","Public service                                    ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","419 ","1 or 2 family dwelling                            ","90      ","E ","BROOKLINE                ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0072613","0","11/01/2017","13:22:26","600 ","Good intent call, Other                           ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","419 ","1 or 2 family dwelling                            ","21      ","  ","STORY                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0072619","0","11/01/2017","13:52:03","714 ","Central station, malicious false alarm            ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","182 ","Auditorium, concert hall                          ","543     ","  ","COLUMBIA                 ","  ","RD  ","                                        ","  ","                         ","  ","    "
"17-0072620","0","11/01/2017","13:54:57","500 ","Service Call, other                               ","0.0000","0.0000","12   ","WR             ","West Roxbury                                      ","02132     ","963 ","Street or road in commercial area                 ","        ","  ","CENTRE                   ","  ","ST  ","                                        ","  ","QUINN                    ","  ","WAY "
"17-0072623","0","11/01/2017","14:04:14","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02119     ","    ","","        ","  ","HIGHLAND                 ","  ","AVE ","                                        ","  ","CENTRE                   ","  ","ST  "
"17-0072624","0","11/01/2017","14:07:12","553 ","Public service                                    ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02119     ","419 ","1 or 2 family dwelling                            ","21      ","  ","CLIFFORD                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0072627","0","11/01/2017","14:25:37","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02110     ","511 ","Convenience store                                 ","50      ","  ","SUMMER                   ","  ","ST  ",": #CLM980                               ","  ","                         ","  ","    "
"17-0072628","0","11/01/2017","14:27:02","714 ","Central station, malicious false alarm            ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","500 ","Mercantile, business, Other                       ","533-541 ","  ","COLUMBIA                 ","  ","RD  ",": #INS384                               ","  ","                         ","  ","    "
"17-0072631","0","11/01/2017","14:32:43","712 ","Direct tie to FD, malicious false alarm           ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","429 ","Multifamily dwelling                              ","557-569A","  ","TREMONT                  ","  ","ST  ",": #12-1526                              ","  ","                         ","  ","    "
"17-0072634","0","11/01/2017","14:50:13","511 ","Lock-out                                          ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","960 ","Street, Other                                     ","132     ","  ","PEMBROKE                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0072636","0","11/01/2017","14:59:06","600 ","Good intent call, Other                           ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","962 ","Residential street, road or residential driveway  ","1663    ","  ","COLUMBIA                 ","  ","RD  ",": @PARK-L STREET BATH HOUSE             ","  ","                         ","  ","    "
"17-0072637","0","11/01/2017","15:00:24","151 ","Outside rubbish, trash or waste fire              ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","938 ","Graded and cared-for plots of land                ","14      ","  ","KELLEY                   ","  ","CT  ","                                        ","  ","                         ","  ","    "
"17-0072639","0","11/01/2017","15:14:15","712 ","Direct tie to FD, malicious false alarm           ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","311 ","24-hour care Nursing homes, 4 or more persons     ","30      ","  ","WARREN                   ","  ","ST  ",": #13-5186                              ","  ","                         ","  ","    "
"17-0072644","0","11/01/2017","15:32:52","700 ","False alarm or false call, Other                  ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02121     ","130 ","Places of worship, funeral parlors, other         ","566     ","  ","WARREN                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0072645","0","11/01/2017","15:33:36","651 ","Smoke scare, odor of smoke                        ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","419 ","1 or 2 family dwelling                            ","35      ","  ","PLEASANT                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0072646","0","11/01/2017","15:41:10","111 ","Building fire                                     ","1000.0000","100.0000","07   ","RX             ","Roxbury                                           ","02119     ","429 ","Multifamily dwelling                              ","35      ","  ","MOUNT PLEASANT           ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0072649","0","11/01/2017","15:58:05","412 ","Gas leak (natural gas or LPG)                     ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","962 ","Residential street, road or residential driveway  ","185     ","  ","FAIRMOUNT                ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0072651","0","11/01/2017","15:59:28","554 ","Assist invalid                                    ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","439 ","Boarding/rooming house, residential hotels        ","2262    ","  ","DORCHESTER               ","  ","AVE ",": @BHA-LOWER MILLS                      ","  ","                         ","  ","    "
"17-0072652","0","11/01/2017","16:01:05","621 ","Wrong location                                    ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02121     ","580 ","General retail, Other                             ","460     ","  ","BLUE HILL                ","  ","AVE ",": @STOP & SHOP SUPERMARKET - 460 BLUE HI","  ","                         ","  ","    "
"17-0072655","0","11/01/2017","16:11:01","424 ","Carbon monoxide incident                          ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02119     ","429 ","Multifamily dwelling                              ","96      ","  ","BLUE HILL                ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0072659","0","11/01/2017","16:27:31","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","    ","","780     ","  ","ALBANY                   ","  ","ST  ",": @BARBARA MC INNIS HOUSE - 780 ALBANY S","  ","                         ","  ","    "
"17-0072660","0","11/01/2017","16:28:06","735 ","Alarm system sounded due to malfunction           ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02110     ","599 ","Business office                                   ","62      ","  ","SUMMER                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0072662","0","11/01/2017","16:31:26","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02108     ","131 ","Church, mosque, synagogue, temple, chapel         ","58      ","  ","TREMONT                  ","  ","ST  ",": @CH-KINGS CHAPEL - 58 TREMONT ST, BOST","  ","                         ","  ","    "
"17-0072664","0","11/01/2017","16:40:02","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","500 ","Mercantile, business, Other                       ","230     ","  ","STUART                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0072665","0","11/01/2017","16:46:39","553 ","Public service                                    ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","900 ","Outside or special property, Other                ","64      ","  ","WRENTHAM                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0072669","0","11/01/2017","16:58:08","551 ","Assist police or other governmental agency        ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02130     ","429 ","Multifamily dwelling                              ","41      ","  ","MOZART                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0072672","0","11/01/2017","17:20:07","735 ","Alarm system sounded due to malfunction           ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02110     ","599 ","Business office                                   ","62      ","  ","SUMMER                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0072673","0","11/01/2017","17:26:29","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02134     ","429 ","Multifamily dwelling                              ","23      ","  ","SAINT LUKES              ","  ","RD  ","                                        ","  ","                         ","  ","    "
"17-0072674","0","11/01/2017","17:27:38","113 ","Cooking fire, confined to container               ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02115     ","429 ","Multifamily dwelling                              ","805     ","  ","HUNTINGTON               ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0072675","0","11/01/2017","17:32:35","522 ","Water or steam leak                               ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02115     ","429 ","Multifamily dwelling                              ","63      ","  ","BURBANK                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0072679","0","11/01/2017","17:42:53","113 ","Cooking fire, confined to container               ","0.0000","1000.0000","04   ","BO             ","Boston                                            ","02118     ","429 ","Multifamily dwelling                              ","20      ","E ","BROOKLINE                ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0072680","0","11/01/2017","17:46:32","621 ","Wrong location                                    ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","449 ","Hotel/motel, commercial                           ","10      ","  ","HUNTINGTON               ","  ","AVE ",": @HOTEL-WESTIN-COPLEY PLACE - 10 HUNTIN","  ","                         ","  ","    "
"17-0072682","0","11/01/2017","17:53:02","553 ","Public service                                    ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","900 ","Outside or special property, Other                ","222     ","  ","CLARENDON                ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0072684","0","11/01/2017","18:02:22","111 ","Building fire                                     ","1000.0000","1000.0000","12   ","HP             ","Hyde Park                                         ","02136     ","429 ","Multifamily dwelling                              ","1045    ","  ","RIVER                    ","  ","ST  ",": #WYN1616                              ","  ","                         ","  ","    "
"17-0072690","0","11/01/2017","18:29:08","621 ","Wrong location                                    ","0.0000","0.0000","12   ","RS             ","Roslindale                                        ","02131     ","000 ","Property Use, Other                               ","26      ","  ","RIDGE                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0072692","0","11/01/2017","18:30:04","733 ","Smoke detector activation due to malfunction      ","0.0000","0.0000","03   ","CH             ","Charlestown                                       ","02129     ","459 ","Residential board and care                        ","20      ","  ","DEVENS                   ","  ","ST  ",": #12-4135                              ","  ","                         ","  ","    "
"17-0072696","0","11/01/2017","18:47:42","650 ","Steam, Other gas mistaken for smoke, Other        ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02203     ","599 ","Business office                                   ","100     ","  ","CITY HALL                ","  ","PLZ ","                                        ","  ","                         ","  ","    "
"17-0072697","0","11/01/2017","18:58:21","714 ","Central station, malicious false alarm            ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02121     ","429 ","Multifamily dwelling                              ","232     ","  ","COLUMBIA                 ","  ","RD  ",": @CH-DELIVERENCE TEMPLE WORSHIP CTR - 2","  ","                         ","  ","    "
"17-0072699","0","11/01/2017","18:59:28","600 ","Good intent call, Other                           ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","900 ","Outside or special property, Other                ","268     ","  ","ALLSTON                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0072700","0","11/01/2017","19:01:14","714 ","Central station, malicious false alarm            ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02215     ","429 ","Multifamily dwelling                              ","464-466 ","  ","COMMONWEALTH             ","  ","AVE ",": #AFA7973                              ","  ","                         ","  ","    "
"17-0072701","0","11/01/2017","19:07:31","715 ","Local alarm system, malicious false alarm         ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02130     ","419 ","1 or 2 family dwelling                            ","19      ","  ","WALDEN                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
