"Incident Number","Exposure Number","Alarm Date","Alarm Time","Incident Type","Incident Description","Estimated Property Loss","Estimated Content Loss","District","City Section","Neighborhood","Zip","Property Use","Property Description","Street Number","Street Prefix","Street Name","Street Suffix","Street Type","Address 2","XStreet Prefix","XStreet Name","XStreet Suffix","XStreet Type"
"17-0041825","0","07/01/2017","08:35:43","714 ","Central station, malicious false alarm            ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","400 ","Residential, Other                                ","101     ","  ","CANAL                    ","  ","ST  ",": #CLM898                               ","  ","                         ","  ","    "
"17-0041826","0","07/01/2017","08:40:58","553 ","Public service                                    ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02119     ","963 ","Street or road in commercial area                 ","        ","  ","MELNEA CASS              ","  ","BLVD","                                        ","  ","MASSACHUSETTS            ","  ","AVE "
"17-0041827","0","07/01/2017","08:49:48","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02119     ","429 ","Multifamily dwelling                              ","87      ","  ","SCHOOL                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0041833","0","07/01/2017","09:36:36","746 ","Carbon monoxide detector activation, no CO        ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02121     ","419 ","1 or 2 family dwelling                            ","47      ","  ","ELLINGTON                ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0041834","0","07/01/2017","09:37:40","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","    ","","113     ","  ","HAMILTON                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0041836","0","07/01/2017","09:54:28","553 ","Public service                                    ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02119     ","460 ","Dormitory-type residence, other                   ","44      ","  ","JOHN ELIOT               ","  ","SQ  ","                                        ","  ","                         ","  ","    "
"17-0041837","0","07/01/2017","09:59:32","600 ","Good intent call, Other                           ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","962 ","Residential street, road or residential driveway  ","50      ","  ","B                        ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0041838","0","07/01/2017","10:06:13","111 ","Building fire                                     ","7000.0000","3000.0000","08   ","DO             ","Dorchester                                        ","02124     ","881 ","Parking garage, (detached residential garage)     ","12      ","  ","CROWELL                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0041839","0","07/01/2017","10:07:47","700 ","False alarm or false call, Other                  ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02120     ","429 ","Multifamily dwelling                              ","16      ","  ","WENSLEY                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0041841","0","07/01/2017","10:18:18","554 ","Assist invalid                                    ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02134     ","400 ","Residential, Other                                ","1299    ","  ","COMMONWEALTH             ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0041842","0","07/01/2017","10:19:12","900T","BFD Drill                                         ","0.0000","0.0000","04   ","SB             ","South Boston                                      ","02127     ","962 ","Residential street, road or residential driveway  ","0       ","  ","WEBBER                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0041844","0","07/01/2017","10:24:36","900T","BFD Drill                                         ","0.0000","0.0000","09   ","RS             ","Roslindale                                        ","02131     ","960 ","Street, Other                                     ","501     ","  ","CANTERBURY               ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0041845","0","07/01/2017","10:26:29","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","03   ","BO             ","Boston                                            ","02113     ","160 ","Eating, drinking places, other                    ","20      ","  ","PARMENTER                ","  ","ST  ",": #INS337                               ","  ","                         ","  ","    "
"17-0041849","0","07/01/2017","10:39:43","900T","BFD Drill                                         ","0.0000","0.0000","03   ","               ","","02109     ","960 ","Street, Other                                     ","        ","  ","DIST 3                   ","  ","    ","                                        ","  ","                         ","  ","    "
"17-0041852","0","07/01/2017","10:54:56","652 ","Steam, vapor, fog or dust thought to be smoke     ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02109     ","599 ","Business office                                   ","53      ","  ","STATE                    ","  ","ST  ",": #12-1281                              ","  ","                         ","  ","    "
"17-0041853","0","07/01/2017","10:56:12","714 ","Central station, malicious false alarm            ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02210     ","429 ","Multifamily dwelling                              ","22      ","  ","BOSTON WHARF             ","  ","RD  ","                                        ","  ","                         ","  ","    "
"17-0041854","0","07/01/2017","10:56:38","711 ","Municipal alarm system, malicious false alarm     ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02115     ","400 ","Residential, Other                                ","84      ","  ","FENWAY                   ","  ","    ","                                        ","  ","                         ","  ","    "
"17-0041855","0","07/01/2017","11:04:05","553 ","Public service                                    ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","900 ","Outside or special property, Other                ","59      ","  ","MONASTERY                ","  ","RD  ","                                        ","  ","                         ","  ","    "
"17-0041857","0","07/01/2017","11:13:53","553 ","Public service                                    ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02119     ","963 ","Street or road in commercial area                 ","        ","  ","READING                  ","  ","ST  ","                                        ","  ","ISLAND                   ","  ","ST  "
"17-0041858","0","07/01/2017","11:22:35","900T","BFD Drill                                         ","0.0000","0.0000","03   ","               ","","02109     ","000 ","Property Use, Other                               ","        ","  ","BEVERLY ST               ","  ","EXT ","                                        ","  ","                         ","  ","    "
"17-0041861","0","07/01/2017","11:40:02","651 ","Smoke scare, odor of smoke                        ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","429 ","Multifamily dwelling                              ","430     ","  ","COLUMBUS                 ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0041862","0","07/01/2017","11:52:50","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","08   ","MT             ","Mattapan                                          ","02126     ","131 ","Church, mosque, synagogue, temple, chapel         ","525     ","  ","RIVER                    ","  ","ST  ",": @CH-CHURCH OF THE HOLY SPIRIT - 525 RI","  ","                         ","  ","    "
"17-0041864","0","07/01/2017","12:08:03","746 ","Carbon monoxide detector activation, no CO        ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02115     ","400 ","Residential, Other                                ","294     ","  ","COMMONWEALTH             ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0041865","0","07/01/2017","12:08:48","113 ","Cooking fire, confined to container               ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02124     ","439 ","Boarding/rooming house, residential hotels        ","10-12   ","  ","WALES                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0041866","0","07/01/2017","12:09:12","410 ","Combustible/flammable gas/liquid condition, other ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","900 ","Outside or special property, Other                ","        ","  ","MASSACHUSETTS            ","  ","AVE ","                                        ","  ","ALLSTATE                 ","  ","RD  "
"17-0041869","0","07/01/2017","12:15:09","500 ","Service Call, other                               ","0.0000","0.0000","03   ","               ","","02109     ","941 ","Open ocean, sea or tidal waters                   ","        ","  ","BOSTON HARBOR            ","  ","    ","                                        ","  ","                         ","  ","    "
"17-0041871","0","07/01/2017","12:19:39","600 ","Good intent call, Other                           ","0.0000","0.0000","03   ","               ","","02114     ","900 ","Outside or special property, Other                ","        ","  ","STORROW                  ","  ","DR  ",": @EX-NB I93 AT EXIT 26                 ","  ","                         ","  ","    "
"17-0041872","0","07/01/2017","12:20:00","551 ","Assist police or other governmental agency        ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","963 ","Street or road in commercial area                 ","784     ","  ","ALBANY                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0041873","0","07/01/2017","12:21:53","735 ","Alarm system sounded due to malfunction           ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","519 ","Food and beverage sales, grocery store            ","1188    ","  ","DORCHESTER               ","  ","AVE ",": @PHU COUNG MARKET - 1188 DORCHESTER AV","  ","                         ","  ","    "
"17-0041874","0","07/01/2017","12:23:31","554 ","Assist invalid                                    ","0.0000","0.0000","03   ","CH             ","Charlestown                                       ","02129     ","300 ","Health care, detention, & correction, Other       ","100     ","  ","FERRIN                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0041875","0","07/01/2017","12:30:16","714 ","Central station, malicious false alarm            ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02113     ","592 ","Bank                                              ","60      ","  ","CROSS                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0041876","0","07/01/2017","12:32:31","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","03   ","               ","","02114     ","    ","","        ","  ","LEVERETT CONNECTOR       ","  ","    ",": #MTA246                               ","  ","                         ","  ","    "
"17-0041877","0","07/01/2017","12:32:58","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","    ","","1188    ","  ","DORCHESTER               ","  ","AVE ",": @PHU COUNG MARKET - 1188 DORCHESTER AV","  ","                         ","  ","    "
"17-0041878","0","07/01/2017","12:35:38","740 ","Unintentional transmission of alarm, Other        ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","400 ","Residential, Other                                ","2089    ","  ","DORCHESTER               ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0041879","0","07/01/2017","12:37:27","735 ","Alarm system sounded due to malfunction           ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02119     ","429 ","Multifamily dwelling                              ","16      ","  ","AKRON                    ","  ","ST  ",": #12-2149                              ","  ","                         ","  ","    "
"17-0041880","0","07/01/2017","12:50:57","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","NNN ","None                                              ","2       ","  ","JACOB                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0041883","0","07/01/2017","13:03:57","553 ","Public service                                    ","0.0000","0.0000","06   ","RX             ","Roxbury                                           ","02118     ","963 ","Street or road in commercial area                 ","        ","  ","TOPEKA                   ","  ","ST  ","                                        ","  ","SOUTHAMPTON              ","  ","ST  "
"17-0041884","0","07/01/2017","13:04:04","600 ","Good intent call, Other                           ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","960 ","Street, Other                                     ","2       ","  ","WORCESTER                ","  ","SQ  ","                                        ","  ","                         ","  ","    "
"17-0041886","0","07/01/2017","13:26:29","746 ","Carbon monoxide detector activation, no CO        ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","429 ","Multifamily dwelling                              ","4       ","  ","EMERSON                  ","  ","PL  ","                                        ","  ","                         ","  ","    "
"17-0041887","0","07/01/2017","13:28:03","735 ","Alarm system sounded due to malfunction           ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02121     ","419 ","1 or 2 family dwelling                            ","7       ","  ","CARLISLE                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0041889","0","07/01/2017","13:37:05","712 ","Direct tie to FD, malicious false alarm           ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02130     ","213 ","Elementary school, including kindergarten         ","493     ","  ","CENTRE                   ","  ","ST  ",": #12-2457                              ","  ","                         ","  ","    "
"17-0041890","0","07/01/2017","13:39:43","553 ","Public service                                    ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02122     ","400 ","Residential, Other                                ","19      ","  ","FLAVIA                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0041892","0","07/01/2017","13:48:12","900 ","Special type of incident, Other                   ","0.0000","0.0000","12   ","WR             ","West Roxbury                                      ","02132     ","965 ","Vehicle parking area                              ","99      ","  ","SPRINGVALE               ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0041893","0","07/01/2017","13:49:53","710 ","Malicious, mischievous false call, Other          ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02130     ","459 ","Residential board and care                        ","545     ","  ","CENTRE                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0041894","0","07/01/2017","14:08:10","112 ","Fires in structure other than in a building       ","0.0000","0.0000","01   ","EB             ","East Boston                                       ","02128     ","898 ","Dock, marina, pier, wharf                         ","6       ","  ","NEW                      ","  ","ST  ","Atlantic Yard   New St Pier             ","  ","                         ","  ","    "
"17-0041895","0","07/01/2017","14:26:54","712 ","Direct tie to FD, malicious false alarm           ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02115     ","152 ","Museum                                            ","465     ","  ","HUNTINGTON               ","  ","AVE ",": #12-2336                              ","  ","                         ","  ","    "
"17-0041896","0","07/01/2017","14:33:14","735 ","Alarm system sounded due to malfunction           ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02119     ","429 ","Multifamily dwelling                              ","301-305 ","  ","DUDLEY                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0041897","0","07/01/2017","14:40:21","900 ","Special type of incident, Other                   ","0.0000","0.0000","03   ","               ","","00000     ","941 ","Open ocean, sea or tidal waters                   ","        ","  ","BOSTON HARBOR            ","  ","    ",": @INNER HARBOR (MYSTIC-TOBIN BRIDGE TO ","  ","                         ","  ","    "
"17-0041898","0","07/01/2017","14:42:20","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","12   ","WR             ","West Roxbury                                      ","02132     ","331 ","Hospital - medical or psychiatric                 ","1400    ","  ","VFW                      ","  ","PKWY",": #12-2881                              ","  ","                         ","  ","    "
"17-0041902","0","07/01/2017","15:01:24","711 ","Municipal alarm system, malicious false alarm     ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02134     ","900 ","Outside or special property, Other                ","        ","  ","GLENVILLE                ","  ","AVE ",": #5138                                 ","  ","QUINT                    ","  ","AVE "
"17-0041904","0","07/01/2017","15:13:26","600 ","Good intent call, Other                           ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02215     ","400 ","Residential, Other                                ","5       ","  ","PETERBOROUGH             ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0041906","0","07/01/2017","15:21:11","412 ","Gas leak (natural gas or LPG)                     ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02113     ","429 ","Multifamily dwelling                              ","99A     ","  ","PRINCE                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0041913","0","07/01/2017","15:45:42","735 ","Alarm system sounded due to malfunction           ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02119     ","429 ","Multifamily dwelling                              ","16      ","  ","AKRON                    ","  ","ST  ",": #12-2149                              ","  ","                         ","  ","    "
"17-0041917","0","07/01/2017","16:13:30","142 ","Brush or brush-and-grass mixture fire             ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","900 ","Outside or special property, Other                ","221     ","N ","BEACON                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0041918","0","07/01/2017","16:20:31","554 ","Assist invalid                                    ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02134     ","400 ","Residential, Other                                ","1299    ","  ","COMMONWEALTH             ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0041919","0","07/01/2017","16:22:24","553 ","Public service                                    ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02120     ","174 ","Rapid transit station                             ","1400    ","  ","TREMONT                  ","  ","ST  ",": @MBTA STA-ROX CROSS                   ","  ","                         ","  ","    "
"17-0041920","0","07/01/2017","16:23:30","600 ","Good intent call, Other                           ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02215     ","960 ","Street, Other                                     ","129     ","  ","JERSEY                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0041921","0","07/01/2017","16:25:46","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02119     ","429 ","Multifamily dwelling                              ","16      ","  ","AKRON                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0041923","0","07/01/2017","16:33:23","715 ","Local alarm system, malicious false alarm         ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","419 ","1 or 2 family dwelling                            ","428     ","W ","SECOND                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0041924","0","07/01/2017","16:39:06","553 ","Public service                                    ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02119     ","429 ","Multifamily dwelling                              ","3       ","  ","SAINT JAMES              ","  ","PL  ","                                        ","  ","                         ","  ","    "
"17-0041926","0","07/01/2017","16:51:07","551 ","Assist police or other governmental agency        ","0.0000","0.0000","01   ","               ","","02128     ","960 ","Street, Other                                     ","        ","  ","MERIDIAN ST BRIDGE       ","  ","    ",": @BR-MERIDIAN ST                       ","  ","                         ","  ","    "
"17-0041927","0","07/01/2017","16:52:01","735 ","Alarm system sounded due to malfunction           ","0.0000","0.0000","12   ","WR             ","West Roxbury                                      ","02132     ","419 ","1 or 2 family dwelling                            ","20      ","  ","CROCKERS                 ","  ","LN  ","                                        ","  ","                         ","  ","    "
"17-0041928","0","07/01/2017","16:58:29","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02134     ","429 ","Multifamily dwelling                              ","17      ","  ","SAINT LUKES              ","  ","RD  ","                                        ","  ","                         ","  ","    "
"17-0041929","0","07/01/2017","17:05:48","552 ","Police matter                                     ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02111     ","174 ","Rapid transit station                             ","640     ","  ","WASHINGTON               ","  ","ST  ",": @MBTA STA-CHINATOWN                   ","  ","                         ","  ","    "
"17-0041930","0","07/01/2017","17:08:53","715 ","Local alarm system, malicious false alarm         ","0.0000","0.0000","12   ","RS             ","Roslindale                                        ","02131     ","419 ","1 or 2 family dwelling                            ","632     ","  ","SOUTH                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0041931","0","07/01/2017","17:21:58","551 ","Assist police or other governmental agency        ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02130     ","459 ","Residential board and care                        ","545     ","  ","CENTRE                   ","  ","ST  ",":7TH                                    ","  ","                         ","  ","    "
"17-0041932","0","07/01/2017","17:23:01","112 ","Fires in structure other than in a building       ","0.0000","0.0000","01   ","EB             ","East Boston                                       ","02128     ","898 ","Dock, marina, pier, wharf                         ","6       ","  ","NEW                      ","  ","ST  ","Atlantic Yard   New Street Pier         ","  ","                         ","  ","    "
"17-0041933","0","07/01/2017","17:28:35","900A","FIU activity  (not covered by other inc types)    ","0.0000","0.0000","08   ","MT             ","Mattapan                                          ","02126     ","NNN ","None                                              ","54      ","  ","WOODBOLE                 ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0041934","0","07/01/2017","17:43:33","553 ","Public service                                    ","0.0000","0.0000","06   ","RX             ","Roxbury                                           ","02118     ","963 ","Street or road in commercial area                 ","        ","  ","GENERAL CASIMIR PULASKI  ","  ","SKWY","                                        ","  ","MASSACHUSETTS            ","  ","AVE "
"17-0041936","0","07/01/2017","17:49:58","113 ","Cooking fire, confined to container               ","0.0000","0.0000","08   ","MT             ","Mattapan                                          ","02126     ","429 ","Multifamily dwelling                              ","85      ","  ","TENNIS                   ","  ","RD  ","                                        ","  ","                         ","  ","    "
"17-0041937","0","07/01/2017","17:58:26","554 ","Assist invalid                                    ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","429 ","Multifamily dwelling                              ","88      ","  ","WASHINGTON               ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0041940","0","07/01/2017","18:07:07","522 ","Water or steam leak                               ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02199     ","882 ","Parking garage, general vehicle                   ","780     ","  ","BOYLSTON                 ","  ","ST  ",": #15-1572                              ","  ","                         ","  ","    "
"17-0041941","0","07/01/2017","18:11:07","113 ","Cooking fire, confined to container               ","0.0000","0.0000","08   ","MT             ","Mattapan                                          ","02126     ","429 ","Multifamily dwelling                              ","85      ","  ","TENNIS                   ","  ","RD  ","                                        ","  ","                         ","  ","    "
"17-0041943","0","07/01/2017","18:20:48","113 ","Cooking fire, confined to container               ","0.0000","100.0000","04   ","BO             ","Boston                                            ","02118     ","429 ","Multifamily dwelling                              ","11      ","E ","NEWTON                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0041945","0","07/01/2017","18:35:15","553 ","Public service                                    ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02119     ","963 ","Street or road in commercial area                 ","        ","  ","MASSACHUSETTS            ","  ","AVE ",": alias MASS AVE/MELNEA CASS BLVD RX BST","  ","MELNEA CASS              ","  ","BLVD"
"17-0041948","0","07/01/2017","18:43:09","714 ","Central station, malicious false alarm            ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02120     ","429 ","Multifamily dwelling                              ","45      ","  ","HORADAN                  ","  ","WAY ","                                        ","  ","                         ","  ","    "
"17-0041950","0","07/01/2017","19:02:37","711 ","Municipal alarm system, malicious false alarm     ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","429 ","Multifamily dwelling                              ","16      ","  ","ELKO                     ","  ","ST  ","                                        ","  ","                         ","  ","    "
